日期,A股总市值(万亿元)
2005-04-30,36692.91
2005-05-31,33248.52
2005-06-30,33490.29
2005-07-31,33292.06
2005-08-31,35677.21
2005-09-30,35531.44
2005-10-31,33370.08
2005-11-30,33128.71
2005-12-31,34946.17
2006-01-31,37081.89
2006-02-28,37876.57
2006-03-31,37547.02
2006-04-30,39663.59
2006-05-31,45879.85
2006-06-30,46865.04
2006-07-31,52371.31
2006-08-31,54765.63
2006-09-30,57371.8
2006-10-31,70451.8
2006-11-30,80749.33
2006-12-31,99172.57
2007-01-31,121697.43
2007-02-28,128775.02
2007-03-31,147332.71
2007-04-30,179719.34
2007-05-31,205521.27
2007-06-30,197412.26
2007-07-31,229501.66
2007-08-31,266906.77
2007-09-30,304621.98
2007-10-31,353251.35
2007-11-30,368863.46
2007-12-31,402675.85
2008-01-31,336174.17
2008-02-29,336310.32
2008-03-31,275222.17
2008-04-30,282465.79
2008-05-31,271942.96
2008-06-30,218147.22
2008-07-31,222294.25
2008-08-31,192434.2
2008-09-30,181898.92
2008-10-31,140509.53
2008-11-30,150566.45
2008-12-31,149092.46
2009-01-31,162634.9
2009-02-28,173342.44
2009-03-31,193897.07
2009-04-30,201971.27
2009-05-31,215179.85
2009-06-30,243838.01
2009-07-31,276467.82
2009-08-31,224354.59
2009-09-30,234501.36
2009-10-31,253728.66
2009-11-30,279603.64
2009-12-31,288289.41
2010-01-31,267837.47
2010-02-28,278318.77
2010-03-31,287381.09
2010-04-30,267709.67
2010-05-31,245974.66
2010-06-30,229159.63
2010-07-31,264304.72
2010-08-31,271216.07
2010-09-30,269974.14
2010-10-31,310281.34
2010-11-30,302052.74
2010-12-31,297934.44
2011-01-31,299799.12
2011-02-28,316133.57
2011-03-31,317753.77
2011-04-30,312739.34
2011-05-31,297941.03
2011-06-30,303606.75
2011-07-31,301204.53
2011-08-31,290759.24
2011-09-30,266493.03
2011-10-31,279455.41
2011-11-30,266869.93
2011-12-31,246111.53
2012-01-31,257092.88
2012-02-29,276053.61
2012-03-31,259603.22
2012-04-30,275865.41
2012-05-31,275256.54
2012-06-30,256830.03
2012-07-31,245687.92
2012-08-31,241799.29
2012-09-30,242236.9
2012-10-31,245116.91
2012-11-30,229279.95
2012-12-31,262897.81
2013-01-31,282487.31
2013-02-28,282696.87
2013-03-31,269240.56
2013-04-30,266790.94
2013-05-31,286169.97
2013-06-30,244486.19
2013-07-31,250273.36
2013-08-31,263761.13
2013-09-30,272224.29
2013-10-31,269285.73
2013-11-30,281122.95
2013-12-31,269836.3
2014-01-31,271043.62
2014-02-28,271128.22
2014-03-31,268362.67
2014-04-30,266684.01
2014-05-31,271597.43
2014-06-30,276519.7
2014-07-31,295950.5
2014-08-31,302094.11
2014-09-30,326394.03
2014-10-31,332657.79
2014-11-30,367899.76
2014-12-31,418573.66
2015-01-31,442453.16
2015-02-28,455947.24
2015-03-31,532769.06
2015-04-30,630746.91
2015-05-31,694300.85
2015-06-30,651353.72
2015-07-31,565086.19
2015-08-31,485845.2
2015-09-30,464575.79
2015-10-31,528014.39
2015-11-30,554980.69
2015-12-31,590784.71
2016-01-31,446251.7
2016-02-29,438223.67
2016-03-31,499189.88
2016-04-30,492961.32
2016-05-31,494142.29
2016-06-30,507551.95
2016-07-31,512053.74
2016-08-31,539348.67
2016-09-30,530126.18
2016-10-31,552353.57
2016-11-30,580926.34
2016-12-31,555714.83
2017-01-31,565833.27
2017-02-28,590695.58
2017-03-31,589428.8
2017-04-30,578640.3
2017-05-31,568965.59
2017-06-30,588972.68
2017-07-31,600182.69
2017-08-31,622394.42
2017-09-30,626290.34
2017-10-31,641417.32
2017-11-30,626089.7
2017-12-31,628304.35
2018-01-31,658387.23
2018-02-28,627049.78
2018-03-31,617333.4
2018-04-30,600547.37
2018-05-31,603030.36
2018-06-30,545434.7
2018-07-31,562617.95
2018-08-31,533652.31
2018-09-30,539306.04
2018-10-31,502480.41
2018-11-30,503995.32
2018-12-31,484979.27
2019-01-31,505096.15
2019-02-28,585821.47
2019-03-31,624479.12
2019-04-30,615814.23
2019-05-31,584007.41
2019-06-30,615239.41
2019-07-31,598931.08
2019-08-31,599971.96
2019-09-30,611661.11
2019-10-31,614681.44
2019-11-30,607847.5
2019-12-31,655607.33
2020-01-31,679464.21
2020-02-29,655757.63
2020-03-31,617230.56
2020-04-30,641607.1
2020-05-31,673584.31
2020-06-30,714326.41
2020-07-31,795052.79
2020-08-31,830340.69
2020-09-30,786840.44
2020-10-31,802503.69
2020-11-30,857960.3
2020-12-31,853210.37
2021-01-31,881746.02
2021-02-28,890178.94
2021-03-31,864771.31
2021-04-30,880261.37
2021-05-31,928159.59
2021-06-30,933024.16
2021-07-31,898211.92
2021-08-31,939677.07
2021-09-30,925650.37
2021-10-31,941727.95
2021-11-30,970238.06
2021-12-31,982732.52
2022-01-31,926091.04
2022-02-28,954307.01
2022-03-31,888802.52
2022-04-30,802700.4
2022-05-31,870957.0
2022-06-30,939532.41
2022-07-31,916952.83
2022-08-31,893193.94
2022-09-30,851566.14
2022-10-31,844402.23
2022-11-30,897143.08
2022-12-31,871678.49
2023-01-31,945768.4
2023-02-28,952654.65
2023-03-31,939388.42
2023-04-30,941959.13
2023-05-31,927711.62
2023-06-30,933304.02
2023-07-31,953942.89
2023-08-31,914512.3
2023-09-30,905515.14
2023-10-31,884512.1
2023-11-30,889611.5
2023-12-31,876279.59
2024-01-31,793472.73
2024-02-29,872102.24
2024-03-31,893608.16
2024-04-30,891833.09
2024-05-31,884322.56
2024-06-30,857013.78
2024-07-31,837839.37
2024-08-31,813379.78
2024-09-30,967118.54
2024-10-31,960611.17
2024-11-30,984754.38
2024-12-31,987160.38
2025-01-31,962409.63
2025-02-28,992581.83
2025-03-31,999588.72
2025-04-30,973030.16
2025-05-31,992649.42
2025-06-30,1050876.05
2025-07-31,1077210.7
2025-08-31,1171421.04
2025-09-30,1193471.32
2025-10-31,1211423.2
2025-11-30,1222388.96
