数据日期,发行总股本-上海,发行总股本-深圳,市价总值-上海,市价总值-深圳,成交金额-上海,成交金额-深圳,成交量-上海,成交量-深圳
2008-01-01,14198.16,2818.71,225354.97,52499.85,30759.73,15770.72,1771.8303,874.0617
2008-02-01,14300.84,2853.4214,225846.35,55786.67,14230.33,6881.35,861.338,396.7523
2008-03-01,14476.47,2902.6198,181350.15,45438.99,19418.53,9113.89,1291.2076,574.9607
2008-04-01,14785.95,3006.0321,194727.31,45516.94,18648.58,8252.82,1368.8541,600.6464
2008-05-01,14980.19,3138.2492,181247.11,43619.59,19792.87,9674.0,1425.7348,690.4348
2008-06-01,15033.03,3244.1661,144508.33,33526.77,11322.15,5540.49,1020.226,495.7654
2008-07-01,15094.87,3307.167,146667.15,35217.45,15315.04,7945.24,1451.5311,764.4652
2008-08-01,15222.59,3340.5737,127029.73,28405.56,7894.27,3914.54,917.4281,438.3424
2008-09-01,15267.87,3385.4943,121615.05,26548.93,8116.64,3425.05,1062.4334,456.8702
2008-10-01,15284.61,3415.333,91719.66,20348.14,7324.39,3071.59,1021.3991,478.0304
2008-11-01,15286.51,3420.2605,99152.56,23331.68,11882.06,5230.23,1832.116,874.147
2008-12-01,15410.39,3441.8579,97251.91,24114.53,15725.37,7862.78,2287.5018,1175.3181
2009-01-01,15424.75,3444.058,106478.69,26616.8,9763.3,5153.5,1352.376,689.711
2009-02-01,15448.42,3445.303,111624.52,28764.68,26363.9,14026.1,3246.751,1713.534
2009-03-01,15453.1,3446.6731,127267.07,34207.17,25066.13,12488.62,2876.2872,1425.4207
2009-04-01,15518.04,3507.8263,132959.05,36294.26,30107.17,15632.95,3180.9926,1637.3628
2009-05-01,15604.61,3554.8818,141337.38,38449.26,24211.02,12864.78,2474.0762,1302.1961
2009-06-01,15724.15227678,3674.6759,159107.69127578,42340.37,30859.29405731,15319.54,2982.10422053,1472.0677
2009-07-01,16140.35938318,3700.3295,186119.25484451,49615.549,47334.81507536,23561.32,4171.64367543,2014.7636
2009-08-01,16188.03576485,3735.9378,146363.14917487,40732.247,33367.09299158,17170.44,2912.92507632,1436.4236
2009-09-01,16385.49573165,3777.1115,153562.13542291,43339.555,28334.70414505,15863.51,2583.73454861,1335.6994
2009-10-01,16410.224305,3825.1926,165927.44366454,49964.568,20003.5823572,12368.61,1769.14097403,999.4304
2009-11-01,16484.29574521,3863.0574,178652.42606219,57250.614,39150.94768278,24860.42,3435.04601473,1942.3722
2009-12-01,16659.95582181,3907.5617,184655.22570837,59283.893,31949.94720483,20165.08,2694.5649478,1458.3813
2010-01-01,16767.13385637,4022.2709,169410.78594739,56950.832,29105.28958427,18795.9873364,2357.92847698,1320.79008535
2010-02-01,16923.00944042,4077.0136,174852.63138063,61744.368,14307.34703852,10011.26013415,1227.04525109,744.4029544
2010-03-01,17075.54597228,4143.2926,179578.57240765,65374.007,25294.32741553,18820.59426492,2150.99624367,1304.2708659
2010-04-01,17153.68,4287.4551,165860.99,62044.52,28788.1,23141.3,2300.3183,1496.8295
2010-05-01,17312.19835725,4454.5024,149971.17105674,59668.26,18658.0,14189.3,1671.535121,1019.654786
2010-06-01,17533.49,4586.1931,139065.89,56072.838,12969.7,12338.2,1226.9379,895.827
2010-07-01,20658.91,4649.4313,161367.0,64555.052,17526.12,15147.34,1911.0953,1207.3461
2010-08-01,21150.76,4747.9111,163401.11,71720.248,24773.56,22597.31,2412.7524,1621.924
2010-09-01,21305.81,4814.6129,165191.88,73548.481,23533.28,20646.77,2051.9206,1395.9052
2010-10-01,21454.3979,4865.6365,187015.4194,83118.167,36891.2823,25946.5809,2973.713773,1700.142143
2010-11-01,21827.7655,4932.8268,178723.8301,85591.749,45922.1196,36648.0093,3553.946129,2173.939564
2010-12-01,21939.5065,5044.9752,179007.2382,86415.354,26542.8821,23038.8798,1293.296954,1306.514224
2011-01-01,22029.71,5090.9183,179868.1708,81421.683,20275.7888,14423.48,1731.582965,857.3286
2011-02-01,22067.8047,5128.986,187914.3473,88943.371,21667.8026,15906.61,1758.678991,936.4124
2011-03-01,22133.9162,5205.512,190187.1702,87475.008,37034.1232,26264.77,2948.575568,1623.3218
2011-04-01,22299.1,5389.8873,189910.2923,84727.077,27369.2333,18556.08,2326.42977,1286.309
2011-05-01,22488.1895,5683.5852,179410.6669,78780.697,20491.5343,13581.39,1802.431843,1015.8234
2011-06-01,22767.5479,5861.0232,181250.6958,82963.641,18543.4803,12842.76,1630.492254,981.7631
2011-07-01,23003.6755,5997.8317,177654.9785,85725.712,23057.6969,19114.89,1976.153449,1309.6372
2011-08-01,23118.2569,6081.0141,169769.7807,84847.422,19185.0421,17787.97,1808.1248,1216.154
2011-09-01,23173.4211,6147.8472,156629.1495,74967.121,12131.6776,10184.66,1192.911202,768.1981
2011-10-01,23310.2532,6166.6828,165015.1574,77967.756,11181.9293,9500.58,1204.697848,755.596
2011-11-01,23400.1092,6211.0853,156401.7271,75313.684,16326.3619,16228.06,1650.989536,1205.6288
2011-12-01,23466.6508,6278.4631,148376.2238,66381.872,10290.6337,9698.01,1161.843435,807.4834
2012-01-01,23498.8714,6303.2799,155020.9216,65898.36,9075.1301,7551.87,1048.557736,692.2911
2012-02-01,23525.68,6318.5138,164763.61,74046.911,17746.36,15915.62,1956.3345,1416.8341
2012-03-01,23790.92,6374.3346,154942.35,69762.5549,20326.76,18302.61,2101.2009,1483.6602
2012-04-01,23858.87,6480.0038,164410.8645,73767.0651,14719.4148,12119.04,1637.543953,1118.9181
2012-05-01,24018.6585,6758.987,162995.0807,76312.9658,19451.559,15685.47,2000.232033,1356.8141
2012-06-01,24201.53,6937.35147239,153189.31,73019.96920497,12177.69,11850.83,1283.9247,1025.9751
2012-07-01,24330.98,7092.0048,145228.16,67963.8535,12213.76,12752.84,1353.0522,1086.6444
2012-08-01,24466.3256,7121.0496,142246.6544,67318.3118,11474.5395,12549.57,1366.4037,1174.6126
2012-09-01,24490.33,7175.9609,145002.93,68944.4457,11581.76,11635.49,1437.6703,1137.1811
2012-10-01,24565.3,7198.7388,144324.72,68459.2802,9232.96,9015.86,1234.9373,961.6975
2012-11-01,24582.96,7217.402,138226.31,61151.7702,9209.76,8309.49,1251.2783,922.9791
2012-12-01,24617.62,7215.9968,158698.44,71659.1818,17251.16,14433.73,2257.2905,1554.509
2013-01-01,24691.96,7251.2097,167496.85,76411.4341,22660.36,20541.61,2681.8392,1971.9564
2013-02-01,24717.41,7262.9616,166305.89,79210.331,16318.71,13953.79,1831.0166,1264.862
2013-03-01,24734.11,7320.6794,157311.6812,76373.2918,20452.177,18243.64,2334.405165,1683.7892
2013-04-01,24787.4898,7427.3579,153372.452,75269.4409,12886.8313,12853.22,1501.430433,1168.1643
2013-05-01,24895.55,7691.9677,162317.72,85437.0264,20969.94,24048.29,2305.2334,2126.5715
2013-06-01,25251.0837,7855.341,139774.5222,73038.3968,13326.4054,15166.5,1555.265316,1406.7209
2013-07-01,25395.3920153,7946.3087,141092.00341419,77439.8271,18236.3671336,23266.26,2169.81265591,2110.9926
2013-08-01,25460.05,7953.5214,148444.65,81747.4611,20726.1,24435.32,2494.9586,2243.5417
2013-09-01,25498.7,7990.2724,154176.0,87100.4163,25465.75,21417.54,3007.6781,1992.0638
2013-10-01,25561.84,8006.3808,151969.82135539,84224.692,21016.54852663,22438.76,2382.67635349,1997.32
2013-11-01,25599.54,8021.8083,157701.32,89983.2859,19287.39,20807.16,2195.5922,1854.0829
2013-12-01,25751.68969628,8070.3541,151165.27327707,87911.9244,18262.17689849,21290.5,2103.82232278,1833.7553
2014-01-01,25923.53,8162.5337,146312.12,91513.5612,13663.8,22123.6485,1570.39,1768.0574
2014-02-01,25946.76,8171.6914,148812.1,92871.3598,17968.53,25928.4945,2056.98,2031.282
2014-03-01,26016.26,8206.9602,147741.56,88883.5018,18702.84,23515.7057,2319.92,2033.6321
2014-04-01,26071.0,8636.3179,147495.35,88780.3536,16876.08,17992.6658,2076.72,1617.9594
2014-05-01,26205.11,8911.7067,148663.67,91059.9424,12055.37,15461.4861,1519.64,1368.6776
2014-06-01,26364.14,9119.0107,149421.28,94708.388,13193.06,19111.8645,1605.69,1643.2936
2014-07-01,26503.46,9235.7338,161470.57,100518.8879,23994.16,29321.6448,3000.01,2688.2986
2014-08-01,26591.85,9267.491,163342.43,105359.4051,27982.46,32823.2855,3358.64,2959.1668
2014-09-01,26818.95,9420.3415,176124.14,117424.0285,35652.53,40872.1219,4205.94,3507.913
2014-10-01,26912.48,9479.3607,180974.34,119512.3194,31375.97,33729.4184,3713.92,2836.0878
2014-11-01,26968.89,9518.8967,201252.15,126574.7734,48995.7,39906.3579,5711.89,3275.0271
2014-12-01,27085.17,9709.928,243974.02,128572.936,115173.9,65964.1716,11427.63,5086.333
2015-01-01,27390.34,9871.9637,244996.24,140428.5265,78474.86,49195.1166,7053.36,3437.9859
2015-02-01,27598.4,9932.2381,255115.63,152477.0623,41447.67,34525.8103,3636.08,2255.6666
2015-03-01,27819.46,10045.6982,292210.37,184807.7844,113018.96,95495.4318,9467.74,5840.4309
2015-04-01,27965.8,10443.1473,348418.9,215072.455,174089.5,126547.95842714,12725.4,6889.47344858
2015-05-01,28149.53,10984.2602,360625.68,266839.7766,163910.87,148164.98701946,10705.31,7030.777678
2015-06-01,29063.54,11439.3233,346690.84,237882.814,200365.3,166247.5401,12892.68,7570.0954
2015-07-01,29434.12,11597.3405,300012.99,204832.6489,161218.14,120223.0292,13203.14,7129.2742
2015-08-01,29496.26,11695.1151,263124.83,174902.3642,107950.48,97242.06411,8736.44,5994.9202
2015-09-01,29721.79,12167.6034,251074.57,168453.5927,56308.19,59810.006,5366.02,4460.4387
2015-10-01,29849.23,12343.361,278486.09,198135.9227,64279.18,86362.7568,5459.66,5569.4209
2015-11-01,30042.58,12499.3445,284894.29,218741.8778,92309.64,130962.6867,7077.34,7307.9084
2015-12-01,30235.54,12779.2794,295194.2,236109.9961,72215.57,110172.6214,5378.49,5851.4031
2016-01-01,30325.5,12889.8699,229463.81,174336.4771,43460.68,64773.1909,4016.34,4249.9932
2016-02-01,30383.7,12991.2549,226320.64,170706.8067,30827.21,47358.1855,3018.69,3189.1256
2016-03-01,30494.32,13130.2587,254081.52,200074.6146,53789.0,80192.1329,5109.68,5294.3389
2016-04-01,30620.77,13451.7637,249670.57,198236.6484,42272.61,72080.98,3797.77,4347.2939
2016-05-01,30891.66,14248.1116,248543.79,200097.6279,31736.73,58969.1603,2868.41,3664.7812
2016-06-01,31327.53,14948.3131,250920.44,212000.0742,37931.23,76793.395,3196.72,4583.8163
2016-07-01,31601.86,15215.8791,256919.86,209543.8541,47371.44,79885.3438,4043.66,4935.7685
2016-08-01,31997.09,15317.6868,270601.32,221033.8787,44693.26,67073.705,3973.98,4422.9834
2016-09-01,32239.16,15649.6729,265741.24,219266.3008,31625.92,51006.6547,2820.92,3391.4981
2016-10-01,32405.88,15827.0432,278042.22,226855.4302,30821.55,46424.1117,2805.54,3102.4998
2016-11-01,32535.21,15916.9701,295302.89,235367.5448,58917.24,77553.0361,5235.33,4992.5484
2016-12-01,32707.76,16042.5342,284607.63,223078.2546,44417.99,53870.0071,3996.68,3632.1652
2017-01-01,33012.48,16335.4277,294122.4,223125.3603,30703.58,36938.1371,2781.96,2623.6026
2017-02-01,33130.72,16375.4104,303722.14,234489.7309,37965.03,42870.64,3422.65,3040.8248
2017-03-01,33291.89,16465.6025,304479.78,235108.3714,51129.25,64814.073,4140.38,4021.8829
2017-04-01,33439.72,16737.0407,300302.72,227178.1092,42432.35,49650.1104,3804.05,3544.8225
2017-05-01,33682.7,17208.4099,297775.27,215837.5048,36229.45,45074.5052,3245.1,3239.9087
2017-06-01,34152.76,17684.5009,307464.99,226856.7263,36688.78,48069.8961,3212.64,3571.8165
2017-07-01,34435.24,17948.7621,316976.04,225201.257,45183.23,52428.9144,4200.14,4103.9153
2017-08-01,34565.95,18057.6053,327100.64,234872.1338,55525.59,62146.7508,5069.41,4798.1715
2017-09-01,34684.66,18159.2181,327809.44,241491.4973,49579.7,65521.3077,4248.3,4604.1293
2017-10-01,34800.9,18243.0008,334498.47,244622.6167,34158.24,45241.8432,2716.78,3178.2797
2017-11-01,35003.27,18321.7323,330215.13,233801.2846,51554.94,60480.5075,3996.77,4121.8156
2017-12-01,35288.35,18458.3239,331324.82,235761.2565,36619.93,43618.3205,2961.13,3132.3578
2018-01-01,35454.9,18531.8085,351041.77,234531.3323,57916.83,56973.003,4812.53,4190.3787
2018-02-01,35570.76,18630.0068,334105.65,227540.3588,32741.52,31651.2467,2897.39,2546.4442
2018-03-01,35688.7,18681.5434,325666.71,233851.8805,44142.91,59156.47,3717.21,4409.7234
2018-04-01,35786.84,18799.4033,317966.5,224566.1194,33860.86,48527.08833,2712.3,3479.2658
2018-05-01,35996.48,19153.6303,320700.9,223519.2273,38289.9,51597.0918,2997.02,3791.5187
2018-06-01,36459.6,19454.8358,299581.98,204635.4358,31183.36,38637.0653,2638.33,3150.80233
2018-07-01,37022.09,19628.7319,305437.18,200770.9569,32667.67,45119.7262,3058.18,4055.5509
2018-08-01,37136.15,19674.6154,290651.26,185050.9407,28823.93,36971.134,2830.92,3706.1621
2018-09-01,37209.76,19806.4865,301557.14,185058.5786,21617.37,28127.4739,2159.15,3092.3895
2018-10-01,37287.03,19885.0261,278622.02,167911.8113,24541.93,27834.4207,2749.58,3308.5149
2018-11-01,37683.3,19919.2812,279653.98,173969.0676,33633.71,44471.7152,4071.93,5449.1477
2018-12-01,37708.96,19872.0697,269515.02,165409.0173,22545.02,30707.9519,2590.09,3622.7018
2019-01-01,37985.99,20042.3424,281023.82,167861.9181,28097.34,37444.1444,3392.64,4606.742
2019-02-01,38032.31,20114.8782,320193.59,204668.5423,38548.28,50375.1008,4475.18,5952.2766
2019-03-01,38103.65,20205.8286,337193.46,225662.4501,83135.45,103131.79,8705.26,10816.8674
2019-04-01,38161.31,20268.1324,336590.16,218667.9404,75714.26,93136.4756,7495.31,9092.3677
2019-05-01,38329.03,20464.7857,318321.46,204644.4653,43268.03,55042.8121,4476.02,5685.6534
2019-06-01,38641.95,20680.1967,327971.84,208324.6582,38597.25,48876.6546,3988.32,4982.227
2019-07-01,38945.07,20854.3524,330361.41,210141.9049,40036.17,51547.0368,3731.16,5058.0764
2019-08-01,38990.08,21296.9964,325976.92,213732.6817,42763.71,55881.8224,3709.7,5271.6972
2019-09-01,39069.16,21363.2733,329091.66,216744.4483,45727.62,67820.7564,3964.56,6123.3678
2019-10-01,39192.61,21372.2239,332673.18,220020.8811,29840.92,46853.99,2644.48,4290.9877
2019-11-01,39441.0,21367.7922,329076.0,217810.567,33732.0,51572.16458909,3060.53,4570.6576
2019-12-01,40199.42,21520.5002,355519.7,237414.8651,44382.54,68632.03720491,4148.99,6381.2199
2020-01-01,40761.49,21585.627,354226.4,242953.161,44701.07,67588.64295176,3879.77,5956.5707
2020-02-01,40826.19,21624.5829,346830.35,249809.7947,75660.59,121061.99431855,6546.93,10230.8908
2020-03-01,40914.78,21710.1162,330896.73,231956.9144,75158.4,115844.70271173,7001.6,10325.8805
2020-04-01,41077.97,21852.0514,347423.31,246570.4323,50717.22,81120.68434892,4716.42,7471.69017555
2020-05-01,41210.11,22025.4113,349401.77,250708.1368,44986.66,67499.86375305,3716.76,5713.8105
2020-06-01,41597.38,22254.6481,372015.47,276758.9251,57495.76,87734.13903686,4716.56,7253.6103
2020-07-01,41777.73,22354.7712,420925.54,317248.9982,132681.4,169281.80819978,10262.38,12984.6817
2020-08-01,41887.0,22409.0238,433279.0,326196.5557,96430.0,126536.63381893,7371.22,9723.6492
2020-09-01,42096.0,22501.8751,413729.0,307958.4034,62290.0,107582.143,4923.09,8814.7793
2020-10-01,42214.0,22641.6861,416867.0,318941.6294,42839.0,76863.26011432,3046.16,5379.051
2020-11-01,42306.0,22703.8615,441857.0,327665.5123,72843.0,102925.63373286,5698.09,7381.025
2020-12-01,42601.0,22855.4168,455322.0,341916.5785,84058.0,104352.14984776,6481.91,7855.3305
2021-01-01,42674.0,22977.9013,457015.0,344614.4823,96861.0,121852.82576706,6653.58,7980.9305
2021-02-01,42851.0,23034.2934,461069.0,339721.8537,65364.0,79354.71115,4856.11,5319.2136
2021-03-01,42920.0,23105.4973,453444.0,330286.4132,84279.0,101680.50339174,7456.77,8248.1442
2021-04-01,43010.0,23226.0915,457628.0,345643.8973,68925.0,89685.04878089,5705.67,7147.4884
2021-05-01,43341.0,23355.2474,486277.0,364242.5036,72194.0,86860.67943162,5816.8,6622.1372
2021-06-01,43990.0,23602.0153,491818.0,371916.9179,93283.0,115825.60419085,6699.76,8308.9019
2021-07-01,44151.0,23709.4026,469545.0,360890.8713,115787.52,149098.83170589,7918.85,9867.9372
2021-08-01,45155.0,23799.1724,496678.0,370639.7324,127400.0,165951.49697632,8957.55,10707.0926
2021-09-01,45495.0,23938.5447,499887.0,367039.5687,129329.0,144902.69886507,10751.1,10392.4417
2021-10-01,45592.0,24005.551,498061.0,369195.8912,73148.0,89380.35877008,5628.2,6022.3919
2021-11-01,45720.0,24142.1957,506720.0,390844.5079,103474.0,146555.49130003,7177.28,9726.7341
2021-12-01,46237.0,24457.3654,519698.0,396389.8439,109962.0,148579.40601168,8673.87,10787.0355
2022-01-01,46422.0,24648.3648,481718.78,357508.0286,82773.0,117864.3776,6639.14,9049.7812
2022-02-01,46478.0,24749.9296,497027.31,367780.3963,62718.0,87870.24464,5390.16,6837.2728
2022-03-01,46536.0,24819.1212,467389.93,337716.9247,100793.0,132990.0966,8721.09,10523.6502
2022-04-01,46656.0,24893.9567,438841.79,300157.1772,76582.0,91039.54078642,7489.81,8275.0022
2022-05-01,46740.0,25027.7738,460824.63,320033.4402,71842.0,87702.52683696,6770.76,7786.8501
2022-06-01,46845.0,25096.352,493943.54,354322.4532,105434.0,126528.22803684,8755.37,10158.85
2022-07-01,46908.0,25190.7178,477054.93,348843.5869,87952.0,123507.61818093,6893.53,9779.66
2022-08-01,47038.0,25349.9943,473612.98,338013.0587,95167.0,136588.40943015,7063.11,10840.6904
2022-09-01,47205.0,25393.6742,450179.65,309662.685,65969.0,87291.38828049,5521.62,7521.9842
2022-10-01,47240.0,25450.6133,433846.91,306441.9386,54579.0,72443.99527497,4149.95,6032.9747
2022-11-01,47363.0,25503.1262,471285.05,329690.8975,86190.0,118011.95728513,6891.74,9803.8583
2022-12-01,47670.0,25642.0644,463786.76,324219.1478,72556.0,100700.07193429,6171.51,8657.0224
2023-01-01,47782.0,25675.941,490684.18,352156.6665,53115.0,73305.87139343,4151.25,6009.0876
2023-02-01,47854.0,25757.7772,495958.72,353658.4522,72304.0,107198.1022,5647.45,8722.5595
2023-03-01,48075.0,25775.1768,497442.63,351412.269,91760.0,122121.94702232,7267.51,9267.52
2023-04-01,48275.0,25903.9496,508485.52,341054.6162,93940.0,122906.53697434,6731.09,8518.8822
2023-05-01,48493.0,26041.7447,492967.44,332208.6918,82536.0,103146.1672378,7065.29,7758.1576
2023-06-01,48682.0,26139.0342,493395.5,339219.2397,78333.0,113954.53463634,5933.64,8119.7507
2023-07-01,48745.0,26135.345,506802.57,343813.9355,73334.0,104785.06454786,5915.36,8369.5652
2023-08-01,48822.0,26047.8253,483241.42,325423.3483,83454.0,106342.05923365,7735.88,9119.7243
2023-09-01,48871.0,26100.5242,481674.1,319946.1919,60617.0,83325.63234166,5274.57,7016.4406
2023-10-01,48900.0,26122.5097,467972.89,314424.7792,57090.0,83632.45513351,4896.24,7055.7138
2023-11-01,48939.0,26165.9576,470469.47,316264.9671,77887.0,115384.91832995,6508.48,9753.817
2023-12-01,49074.0,26414.9405,463127.23,310003.4788,69258.0,92377.78827126,6081.08,7890.0722
2024-01-01,49098.0,26465.2653,433127.91,261045.1714,72612.0,87569.79244597,6941.4,8265.2609
2024-02-01,49127.0,26418.6899,468558.64,288706.5421,64763.0,77626.31181085,6572.77,8194.6351
2024-03-01,49146.0,26401.806,473022.85,295922.8318,89951.0,122331.81592492,7732.92,10725.7072
2024-04-01,49191.0,26406.7047,482871.91,297333.5468,81318.0,101293.37933266,7656.11,9548.8926
2024-05-01,49232.0,26470.0417,480119.34,291482.9265,74425.0,94616.43499997,7008.89,8979.0384
2024-06-01,49290.0,26501.2932,461499.75,271650.1652,61069.0,75919.9608269,5713.87,7268.7032
2024-07-01,49289.0,26394.6105,457332.58,269609.4041,67979.0,82106.61504694,6653.82,8082.8805
2024-08-01,49188.0,26132.1549,442360.33,258376.6494,56752.0,74156.37047186,5979.64,8303.3235
2024-09-01,49200.0,26089.363,519544.13,323216.4251,65217.0,85739.35072172,6976.38,9332.3705
2024-10-01,49222.0,26055.9472,511459.11,334114.3552,143381.0,213400.13313662,12556.94,17041.5919
2024-11-01,49251.0,26081.5581,519637.6,338651.4651,163636.0,241682.72303958,14460.69,19869.5735
2024-12-01,49344.0,26352.1433,524308.99,330411.5313,139375.0,210936.81186493,12968.65,18624.7778
2025-01-01,49415.0,26399.6002,509659.92,324178.4093,86575.0,127973.46256776,7642.92,11021.1626
2025-02-01,49428.0,26405.1352,520923.77,343584.5056,126678.0,199161.66823759,9738.81,14570.353
2025-03-01,49388.0,26439.177,524049.34,341128.3394,125269.0,187994.03960725,10056.15,14284.2669
2025-04-01,49364.0,26440.4002,515570.32,325948.535,108319.0,145147.21714878,9528.43,12571.9959
2025-05-01,49312.0,26486.1111,526655.78,334744.4432,89268.0,135758.74035247,7777.68,11116.1218
2025-06-01,50182.0,26562.1792,548595.47,350945.3424,102087.7329,159380.82132864,8609.0664,12507.8679
2025-07-01,50600.0,26612.5367,572912.11,367762.6816,156067.0,214274.02199878,13241.67,15948.498
2025-08-01,,,,,,,,
