日期,收盘,成交量
2013-03-25,1.889,2969737
2013-03-26,1.856,1235689
2013-03-27,1.864,1166247
2013-03-28,1.802,376925
2013-03-29,1.798,1145511
2013-04-01,1.8,437450
2013-04-02,1.792,196576
2013-04-03,1.786,108515
2013-04-08,1.78,92018
2013-04-09,1.794,158597
2013-04-10,1.792,35076
2013-04-11,1.784,61597
2013-04-12,1.772,55336
2013-04-15,1.756,16393
2013-04-16,1.768,31270
2013-04-17,1.772,28941
2013-04-18,1.772,23758
2013-04-19,1.832,41102
2013-04-22,1.826,22313
2013-04-23,1.766,14530
2013-04-24,1.8,16003
2013-04-25,1.782,12112
2013-04-26,1.762,13868
2013-05-02,1.76,7364
2013-05-03,1.802,110545
2013-05-06,1.82,346758
2013-05-07,1.826,442698
2013-05-08,1.838,477363
2013-05-09,1.826,425961
2013-05-10,1.834,452005
2013-05-13,1.824,393636
2013-05-14,1.792,457280
2013-05-15,1.81,432010
2013-05-16,1.84,337642
2013-05-17,1.875,181665
2013-05-20,1.895,129375
2013-05-21,1.895,17482
2013-05-22,1.899,60398
2013-05-23,1.873,19025
2013-05-24,1.887,22680
2013-05-27,1.885,47909
2013-05-28,1.919,21874
2013-05-29,1.923,20107
2013-05-30,1.917,15683
2013-05-31,1.885,48944
2013-06-03,1.895,7009
2013-06-04,1.871,7497
2013-06-05,1.86,4961
2013-06-06,1.842,11795
2013-06-07,1.82,7526
2013-06-13,1.732,90408
2013-06-14,1.754,15809
2013-06-17,1.744,7779
2013-06-18,1.756,84253
2013-06-19,1.746,3011
2013-06-20,1.696,18307
2013-06-21,1.674,15566
2013-06-24,1.674,34675
2013-06-25,1.554,62147
2013-06-26,1.556,56695
2013-06-27,1.564,52121
2013-06-28,1.59,12808
2013-07-01,1.6,8446
2013-07-02,1.606,5927
2013-07-03,1.598,3842
2013-07-04,1.606,8874
2013-07-05,1.618,58173
2013-07-08,1.574,12127
2013-07-09,1.58,8214
2013-07-10,1.618,14522
2013-07-11,1.704,30068
2013-07-12,1.66,12412
2013-07-15,1.678,11836
2013-07-16,1.692,26688
2013-07-17,1.672,25405
2013-07-18,1.638,2143
2013-07-19,1.596,10394
2013-07-22,1.6,11009
2013-07-23,1.652,24994
2013-07-24,1.64,21782
2013-07-25,1.636,8228
2013-07-26,1.62,3515
2013-07-29,1.582,4496
2013-07-30,1.608,3432
2013-07-31,1.604,1491
2013-08-01,1.64,5515
2013-08-02,1.644,835
2013-08-05,1.67,7607
2013-08-06,1.688,1967
2013-08-07,1.672,2236
2013-08-08,1.66,2060
2013-08-09,1.672,4288
2013-08-12,1.73,7149
2013-08-13,1.728,3472
2013-08-14,1.73,7263
2013-08-15,1.706,1635
2013-08-16,1.696,24945
2013-08-19,1.714,797
2013-08-20,1.696,1866
2013-08-21,1.692,1432
2013-08-22,1.696,8452
2013-08-23,1.68,2230
2013-08-26,1.718,3619
2013-08-27,1.718,5106
2013-08-28,1.716,4393
2013-08-29,1.704,5109
2013-08-30,1.696,6169
2013-09-02,1.708,5285
2013-09-03,1.73,6058
2013-09-04,1.726,2520
2013-09-05,1.72,2900
2013-09-06,1.738,12383
2013-09-09,1.798,24948
2013-09-10,1.828,10255
2013-09-11,1.838,16274
2013-09-12,1.86,12320
2013-09-13,1.842,8704
2013-09-16,1.832,6029
2013-09-17,1.794,13185
2013-09-18,1.8,11629
2013-09-23,1.836,105828
2013-09-24,1.81,124143
2013-09-25,1.8,107917
2013-09-26,1.766,103081
2013-09-27,1.764,316618
2013-09-30,1.784,511284
2013-10-08,1.804,523253
2013-10-09,1.816,404538
2013-10-10,1.798,433160
2013-10-11,1.828,494381
2013-10-14,1.83,312961
2013-10-15,1.826,366901
2013-10-16,1.784,366478
2013-10-17,1.782,329969
2013-10-18,1.792,504001
2013-10-21,1.824,520788
2013-10-22,1.808,225525
2013-10-23,1.786,411601
2013-10-24,1.77,396373
2013-10-25,1.744,366560
2013-10-28,1.746,336603
2013-10-29,1.748,506314
2013-10-30,1.78,396913
2013-10-31,1.754,335281
2013-11-01,1.762,327522
2013-11-04,1.754,268492
2013-11-05,1.758,368985
2013-11-06,1.738,307849
2013-11-07,1.722,451472
2013-11-08,1.7,395769
2013-11-11,1.702,295848
2013-11-12,1.722,329865
2013-11-13,1.684,323231
2013-11-14,1.694,301135
2013-11-15,1.732,431669
2013-11-18,1.79,358475
2013-11-19,1.78,338330
2013-11-20,1.788,289622
2013-11-21,1.78,249996
2013-11-22,1.772,325802
2013-11-25,1.764,294295
2013-11-26,1.762,302742
2013-11-27,1.782,387915
2013-11-28,1.8,381595
2013-11-29,1.798,927521
2013-12-02,1.78,334237
2013-12-03,1.798,153406
2013-12-04,1.826,150450
2013-12-05,1.818,99002
2013-12-06,1.81,199411
2013-12-09,1.806,319101
2013-12-10,1.808,86407
2013-12-11,1.774,497625
2013-12-12,1.77,47690
2013-12-13,1.77,66305
2013-12-16,1.742,192144
2013-12-17,1.732,133483
2013-12-18,1.73,721468
2013-12-19,1.714,432135
2013-12-20,1.674,233556
2013-12-23,1.676,140268
2013-12-24,1.676,136290
2013-12-25,1.69,63766
2013-12-26,1.662,71248
2013-12-27,1.686,97119
2013-12-30,1.688,115033
2013-12-31,1.71,285485
2014-01-02,1.7,769404
2014-01-03,1.68,89533
2014-01-06,1.64,211435
2014-01-07,1.636,930957
2014-01-08,1.64,30991
2014-01-09,1.626,36054
2014-01-10,1.612,409051
2014-01-13,1.606,349944
2014-01-14,1.616,37851
2014-01-15,1.614,130725
2014-01-16,1.616,130910
2014-01-17,1.594,112979
2014-01-20,1.584,39772
2014-01-21,1.596,25618
2014-01-22,1.642,67001
2014-01-23,1.634,11260
2014-01-24,1.646,20456
2014-01-27,1.62,10769
2014-01-28,1.626,68473
2014-01-29,1.628,12902
2014-01-30,1.606,16663
2014-02-07,1.616,17457
2014-02-10,1.658,259575
2014-02-11,1.674,119235
2014-02-12,1.678,120685
2014-02-13,1.67,252381
2014-02-14,1.678,118942
2014-02-17,1.692,178398
2014-02-18,1.668,708085
2014-02-19,1.688,747002
2014-02-20,1.678,440736
2014-02-21,1.654,310991
2014-02-24,1.616,144180
2014-02-25,1.574,412589
2014-02-26,1.574,403074
2014-02-27,1.572,149183
2014-02-28,1.588,30219
2014-03-03,1.6,50475
2014-03-04,1.592,29688
2014-03-05,1.574,3860
2014-03-06,1.584,326411
2014-03-07,1.576,223631
2014-03-10,1.528,17233
2014-03-11,1.536,4734
2014-03-12,1.532,58320
2014-03-13,1.56,19256
2014-03-14,1.542,10674
2014-03-17,1.556,8291
2014-03-18,1.554,4538
2014-03-19,1.54,82492
2014-03-20,1.52,47157
2014-03-21,1.57,40711
2014-03-24,1.58,57647
2014-03-25,1.586,21481
2014-03-26,1.582,17531
2014-03-27,1.576,25013
2014-03-28,1.57,18376
2014-03-31,1.564,3159
2014-04-01,1.578,9457
2014-04-02,1.588,200932
2014-04-03,1.58,17668
2014-04-04,1.592,5347
2014-04-08,1.638,104193
2014-04-09,1.638,27256
2014-04-10,1.666,142783
2014-04-11,1.658,123079
2014-04-14,1.658,112716
2014-04-15,1.632,68483
2014-04-16,1.63,28565
2014-04-17,1.628,21042
2014-04-18,1.626,67701
2014-04-21,1.592,107891
2014-04-22,1.602,107711
2014-04-23,1.602,76197
2014-04-24,1.598,27833
2014-04-25,1.58,257532
2014-04-28,1.558,12707
2014-04-29,1.576,9462
2014-04-30,1.574,21776
2014-05-05,1.568,17953
2014-05-06,1.57,75471
2014-05-07,1.56,7990
2014-05-08,1.558,36046
2014-05-09,1.556,15920
2014-05-12,1.592,101568
2014-05-13,1.586,11329
2014-05-14,1.586,34351
2014-05-15,1.568,62778
2014-05-16,1.564,7212
2014-05-19,1.544,22598
2014-05-20,1.542,10821
2014-05-21,1.554,75184
2014-05-22,1.55,28849
2014-05-23,1.57,15118
2014-05-26,1.578,24858
2014-05-27,1.57,4355
2014-05-28,1.588,14752
2014-05-29,1.576,11302
2014-05-30,1.576,9292
2014-06-03,1.57,57189
2014-06-04,1.55,6859
2014-06-05,1.574,18252
2014-06-06,1.56,22255
2014-06-09,1.558,129357
2014-06-10,1.578,115851
2014-06-11,1.576,21017
2014-06-12,1.576,8852
2014-06-13,1.594,28296
2014-06-16,1.606,13715
2014-06-17,1.588,2219046
2014-06-18,1.588,8060
2014-06-19,1.56,318986
2014-06-20,1.564,273279
2014-06-23,1.562,45936
2014-06-24,1.578,27890
2014-06-25,1.572,27049
2014-06-26,1.58,38943
2014-06-27,1.582,40677
2014-06-30,1.594,87141
2014-07-01,1.592,201628
2014-07-02,1.6,164289
2014-07-03,1.61,130988
2014-07-04,1.608,120155
2014-07-07,1.604,118755
2014-07-08,1.606,14360
2014-07-09,1.584,219257
2014-07-10,1.584,27632
2014-07-11,1.588,51479
2014-07-14,1.614,118668
2014-07-15,1.612,11635
2014-07-16,1.608,131954
2014-07-17,1.604,6795
2014-07-18,1.608,35311
2014-07-21,1.61,159314
2014-07-22,1.632,303929
2014-07-23,1.634,153353
2014-07-24,1.672,90627
2014-07-25,1.696,134326
2014-07-28,1.74,151964
2014-07-29,1.752,235132
2014-07-30,1.748,28641
2014-07-31,1.772,31877
2014-08-01,1.746,48635
2014-08-04,1.784,2432890
2014-08-05,1.778,268677
2014-08-06,1.77,76916
2014-08-07,1.748,130188
2014-08-08,1.752,25498
2014-08-11,1.774,45715
2014-08-12,1.772,146319
2014-08-13,1.77,52551
2014-08-14,1.756,219088
2014-08-15,1.772,13282
2014-08-18,1.778,385184
2014-08-19,1.78,107969
2014-08-20,1.774,4679
2014-08-21,1.764,91564
2014-08-22,1.772,334152
2014-08-25,1.764,16430
2014-08-26,1.746,74037
2014-08-27,1.746,205752
2014-08-28,1.734,33244
2014-08-29,1.758,13761
2014-09-01,1.77,88685
2014-09-02,1.796,165103
2014-09-03,1.81,190883
2014-09-04,1.828,250275
2014-09-05,1.846,316008
2014-09-09,1.84,23457
2014-09-10,1.832,16600
2014-09-11,1.82,48648
2014-09-12,1.838,346516
2014-09-15,1.828,225238
2014-09-16,1.796,93881
2014-09-17,1.802,236406
2014-09-18,1.808,111416
2014-09-19,1.83,21505
2014-09-22,1.786,251221
2014-09-23,1.8,35531
2014-09-24,1.842,61994
2014-09-25,1.832,15851
2014-09-26,1.838,9099
2014-09-29,1.84,206702
2014-09-30,1.852,27724
2014-10-08,1.864,347849
2014-10-09,1.866,24163
2014-10-10,1.852,301649
2014-10-13,1.846,174865
2014-10-14,1.838,418870
2014-10-15,1.852,8809
2014-10-16,1.844,16962
2014-10-17,1.836,8636
2014-10-20,1.84,206321
2014-10-21,1.83,7417
2014-10-22,1.822,308422
2014-10-23,1.804,67483
2014-10-24,1.796,17169
2014-10-27,1.784,55985
2014-10-28,1.822,14409
2014-10-29,1.842,25081
2014-10-30,1.856,337943
2014-10-31,1.895,262180
2014-11-03,1.891,13949
2014-11-04,1.891,471241
2014-11-05,1.889,33555
2014-11-06,1.889,10461
2014-11-07,1.891,336283
2014-11-10,1.935,57077
2014-11-11,1.929,1147313
2014-11-12,1.969,270727
2014-11-13,1.959,535737
2014-11-14,1.957,414917
2014-11-17,1.945,230048
2014-11-18,1.921,448496
2014-11-19,1.921,207709
2014-11-20,1.919,216632
2014-11-21,1.959,181184
2014-11-24,2.009,167208
2014-11-25,2.035,32913
2014-11-26,2.055,81698
2014-11-27,2.079,317770
2014-11-28,2.137,208955
2014-12-01,2.143,331741
2014-12-02,2.261,40983
2014-12-03,2.267,95480
2014-12-04,2.473,909903
2014-12-05,2.409,250327
2014-12-08,2.483,441981
2014-12-09,2.361,399014
2014-12-10,2.465,140205
2014-12-11,2.439,331211
2014-12-12,2.439,67356
2014-12-15,2.465,530911
2014-12-16,2.525,84047
2014-12-17,2.579,114782
2014-12-18,2.569,81540
2014-12-19,2.605,243078
2014-12-22,2.617,539436
2014-12-23,2.543,824627
2014-12-24,2.447,593809
2014-12-25,2.561,59219
2014-12-26,2.661,614030
2014-12-29,2.669,95888
2014-12-30,2.657,283606
2014-12-31,2.737,131085
2015-01-05,2.819,453266
2015-01-06,2.801,169141
2015-01-07,2.799,583146
2015-01-08,2.743,499885
2015-01-09,2.735,558025
2015-01-12,2.713,1373278
2015-01-13,2.697,603183
2015-01-14,2.689,155851
2015-01-15,2.771,184224
2015-01-16,2.797,467133
2015-01-19,2.525,382642
2015-01-20,2.607,665784
2015-01-21,2.719,1461611
2015-01-22,2.735,215991
2015-01-23,2.741,583646
2015-01-26,2.765,46600
2015-01-27,2.741,448278
2015-01-28,2.709,507061
2015-01-29,2.665,76066
2015-01-30,2.645,1585480
2015-02-02,2.567,877290
2015-02-03,2.637,291489
2015-02-04,2.603,281313
2015-02-05,2.583,97581
2015-02-06,2.533,88889
2015-02-09,2.567,95649
2015-02-10,2.609,164253
2015-02-11,2.631,257832
2015-02-12,2.643,48158
2015-02-13,2.659,349568
2015-02-16,2.681,190582
2015-02-17,2.705,57347
2015-02-25,2.661,136954
2015-02-26,2.743,227835
2015-02-27,2.747,286392
2015-03-02,2.765,407900
2015-03-03,2.691,281461
2015-03-04,2.707,371779
2015-03-05,2.679,94937
2015-03-06,2.661,62746
2015-03-09,2.713,262231
2015-03-10,2.701,35549
2015-03-11,2.705,60583
2015-03-12,2.755,385383
2015-03-13,2.771,354557
2015-03-16,2.849,413418
2015-03-17,2.887,604790
2015-03-18,2.965,945184
2015-03-19,2.945,403356
2015-03-20,2.993,652436
2015-03-23,3.061,582822
2015-03-24,3.053,1003696
2015-03-25,3.029,475499
2015-03-26,3.035,140246
2015-03-27,3.063,340637
2015-03-30,3.163,268354
2015-03-31,3.131,258110
2015-04-01,3.185,66786
2015-04-02,3.175,274601
2015-04-03,3.223,163516
2015-04-07,3.283,262492
2015-04-08,3.307,381852
2015-04-09,3.287,1088072
2015-04-10,3.369,463498
2015-04-13,3.419,281918
2015-04-14,3.429,139644
2015-04-15,3.385,243440
2015-04-16,3.499,229822
2015-04-17,3.575,392485
2015-04-20,3.491,528479
2015-04-21,3.561,268542
2015-04-22,3.675,674378
2015-04-23,3.667,123023
2015-04-24,3.631,79723
2015-04-27,3.743,396909
2015-04-28,3.673,397026
2015-04-29,3.705,267771
2015-04-30,3.693,288775
2015-05-04,3.717,296916
2015-05-05,3.571,222775
2015-05-06,3.525,259387
2015-05-07,3.465,180971
2015-05-08,3.529,265920
2015-05-11,3.631,137349
2015-05-12,3.673,87807
2015-05-13,3.649,43884
2015-05-14,3.637,214364
2015-05-15,3.585,197045
2015-05-18,3.555,93886
2015-05-19,3.675,166954
2015-05-20,3.701,85857
2015-05-21,3.759,42256
2015-05-22,3.857,218256
2015-05-25,3.975,343405
2015-05-26,4.061,237937
2015-05-27,4.049,103995
2015-05-28,3.859,379248
2015-05-29,3.795,378010
2015-06-01,3.971,301938
2015-06-02,4.035,85281
2015-06-03,3.997,37296
2015-06-04,4.039,79459
2015-06-05,4.095,114909
2015-06-08,4.154,308528
2015-06-09,4.158,249249
2015-06-10,4.138,166175
2015-06-11,4.142,125119
2015-06-12,4.166,155110
2015-06-15,4.073,238000
2015-06-16,3.955,158196
2015-06-17,4.011,211442
2015-06-18,3.861,139767
2015-06-19,3.637,86627
2015-06-23,3.755,171017
2015-06-24,3.833,133304
2015-06-25,3.675,36547
2015-06-26,3.435,114525
2015-06-29,3.317,179021
2015-06-30,3.507,151696
2015-07-01,3.315,145288
2015-07-02,3.179,142721
2015-07-03,3.021,228409
2015-07-06,3.221,874090
2015-07-07,2.893,512533
2015-07-08,2.595,679573
2015-07-09,2.869,304362
2015-07-10,3.169,260499
2015-07-13,3.373,285965
2015-07-14,3.281,666149
2015-07-15,3.019,309937
2015-07-16,3.107,134277
2015-07-17,3.237,87311
2015-07-20,3.219,92039
2015-07-21,3.205,51293
2015-07-22,3.215,50088
2015-07-23,3.301,75078
2015-07-24,3.251,67874
2015-07-27,2.947,53449
2015-07-28,2.929,55497
2015-07-29,3.053,48078
2015-07-30,2.965,323587
2015-07-31,2.941,43341
2015-08-03,2.931,38994
2015-08-04,3.067,40290
2015-08-05,3.007,23778
2015-08-06,2.977,11685
2015-08-07,3.041,260256
2015-08-10,3.187,68950
2015-08-11,3.151,58467
2015-08-12,3.141,463840
2015-08-13,3.161,45532
2015-08-14,3.147,38456
2015-08-17,3.167,38608
2015-08-18,2.979,34612
2015-08-19,3.011,38863
2015-08-20,2.933,33610
2015-08-21,2.849,62958
2015-08-24,2.551,121096
2015-08-25,2.283,86769
2015-08-26,2.299,97939
2015-08-27,2.429,60968
2015-08-28,2.537,83915
2015-08-31,2.529,139352
2015-09-01,2.557,78083
2015-09-02,2.507,18317
2015-09-07,2.523,22649
2015-09-08,2.575,22365
2015-09-09,2.609,71556
2015-09-10,2.591,22917
2015-09-11,2.579,5439
2015-09-14,2.477,45655
2015-09-15,2.419,10670
2015-09-16,2.547,34672
2015-09-17,2.475,24057
2015-09-18,2.487,10553
2015-09-21,2.527,11226
2015-09-22,2.559,39520
2015-09-23,2.509,6645
2015-09-24,2.527,2827
2015-09-25,2.491,6757
2015-09-28,2.489,5488
2015-09-29,2.459,6510
2015-09-30,2.467,6706
2015-10-08,2.539,9205
2015-10-09,2.577,16945
2015-10-12,2.679,31309
2015-10-13,2.661,6597
2015-10-14,2.641,6015
2015-10-15,2.699,26291
2015-10-16,2.735,37696
2015-10-19,2.727,29485
2015-10-20,2.765,20663
2015-10-21,2.681,26176
2015-10-22,2.721,12085
2015-10-23,2.763,11909
2015-10-26,2.773,13015
2015-10-27,2.785,9721
2015-10-28,2.731,12448
2015-10-29,2.739,6686
2015-10-30,2.753,19917
2015-11-02,2.705,12580
2015-11-03,2.673,10451
2015-11-04,2.855,27947
2015-11-05,2.975,42467
2015-11-06,2.977,19088
2015-11-09,3.019,25255
2015-11-10,2.995,322435
2015-11-11,2.941,222104
2015-11-12,2.923,64730
2015-11-13,2.907,35496
2015-11-16,2.915,15302
2015-11-17,2.889,34622
2015-11-18,2.865,32558
2015-11-19,2.909,7729
2015-11-20,2.911,21931
2015-11-23,2.895,34465
2015-11-24,2.903,10112
2015-11-25,2.923,7898
2015-11-26,2.923,30650
2015-11-27,2.755,122521
2015-11-30,2.751,19824
2015-12-01,2.767,18329
2015-12-02,2.889,23432
2015-12-03,2.903,46939
2015-12-04,2.871,10485
2015-12-07,2.849,5906
2015-12-08,2.815,16731
2015-12-09,2.815,3066
2015-12-10,2.821,9244
2015-12-11,2.799,6464
2015-12-14,2.871,14774
2015-12-15,2.855,9512
2015-12-16,2.857,5864
2015-12-17,2.905,12613
2015-12-18,2.921,17999
2015-12-21,3.003,113802
2015-12-22,3.001,204712
2015-12-23,2.991,116664
2015-12-24,2.981,112714
2015-12-25,2.971,33515
2015-12-28,2.901,19961
2015-12-29,2.919,3986
2015-12-30,2.917,3442
2015-12-31,2.901,16578
2016-01-04,2.713,22348
2016-01-05,2.713,31639
2016-01-06,2.735,15669
2016-01-07,2.599,4288
2016-01-08,2.629,33867
2016-01-11,2.471,35749
2016-01-12,2.493,25547
2016-01-13,2.441,16938
2016-01-14,2.501,21852
2016-01-15,2.405,231897
2016-01-18,2.417,12651
2016-01-19,2.495,25378
2016-01-20,2.463,8522
2016-01-21,2.417,12959
2016-01-22,2.405,17090
2016-01-25,2.407,6925
2016-01-26,2.265,122613
2016-01-27,2.261,344869
2016-01-28,2.199,14573
2016-01-29,2.291,362596
2016-02-01,2.239,19865
2016-02-02,2.287,18290
2016-02-03,2.271,304332
2016-02-04,2.301,6577
2016-02-05,2.287,4339
2016-02-15,2.273,8625
2016-02-16,2.333,14826
2016-02-17,2.351,12388
2016-02-18,2.343,16733
2016-02-19,2.349,6597
2016-02-22,2.397,42859
2016-02-23,2.371,9334
2016-02-24,2.387,3809
2016-02-25,2.281,17855
2016-02-26,2.255,24919
2016-02-29,2.219,16672
2016-03-01,2.247,6443
2016-03-02,2.337,17439
2016-03-03,2.331,15478
2016-03-04,2.377,176849
2016-03-07,2.387,25955
2016-03-08,2.371,16391
2016-03-09,2.351,10012
2016-03-10,2.323,80595
2016-03-11,2.321,5278
2016-03-14,2.367,24606
2016-03-15,2.351,17139
2016-03-16,2.363,15062
2016-03-17,2.391,17361
2016-03-18,2.443,17189
2016-03-21,2.519,41950
2016-03-22,2.487,7964
2016-03-23,2.483,14512
2016-03-24,2.443,9368
2016-03-25,2.453,9247
2016-03-28,2.445,9307
2016-03-29,2.411,6254
2016-03-30,2.481,5823
2016-03-31,2.473,19525
2016-04-01,2.481,10447
2016-04-05,2.521,19112
2016-04-06,2.507,17726
2016-04-07,2.481,9124
2016-04-08,2.457,19093
2016-04-11,2.493,10251
2016-04-12,2.477,8853
2016-04-13,2.521,39648
2016-04-14,2.545,53833
2016-04-15,2.541,2712
2016-04-18,2.503,64082
2016-04-19,2.495,4352
2016-04-20,2.457,57496
2016-04-21,2.437,14311
2016-04-22,2.451,7335
2016-04-25,2.439,5955
2016-04-26,2.445,4426
2016-04-27,2.443,3361
2016-04-28,2.435,6618
2016-04-29,2.439,1425
2016-05-03,2.477,6211
2016-05-04,2.469,34946
2016-05-05,2.483,4622
2016-05-06,2.419,5619
2016-05-09,2.371,12829
2016-05-10,2.371,5654
2016-05-11,2.379,4062
2016-05-12,2.381,4617
2016-05-13,2.363,5238
2016-05-16,2.381,2202
2016-05-17,2.381,1376
2016-05-18,2.359,3894
2016-05-19,2.361,2245
2016-05-20,2.365,4503
2016-05-23,2.375,3020
2016-05-24,2.355,1405
2016-05-25,2.361,1901
2016-05-26,2.349,4694
2016-05-27,2.361,2275
2016-05-30,2.361,2013
2016-05-31,2.435,11464
