代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
404004,汇车退债,52.531,6.98,400245,汇车5,0.08,0.0,0.02,0.12,66.67,-21.2,A,0.084,0.156,293.0,2026-08-18,0.912,19.444,568.29,0.56,120.27,31.33
110062,烽火转债,134.743,1.01,600498,烽火通信,29.88,3.46,2.7,21.71,137.63,-2.1,AAA,15.197,28.223,8.0,2025-12-02,0.203,28.323,314833.59,81.31,-106.66,132.64
113697,应流转债,100.0,0.0,603308,应流股份,31.0,-3.06,4.38,30.47,101.74,-1.71,AA+,21.329,39.611,7.1,2031-09-18,6.0,15.0,0.0,0.0,2.0,98.29
123162,Z杰转债,261.82,-3.92,300486,东杰智能,21.4,-2.51,8.49,8.05,265.84,-1.51,BBB+,5.635,10.465,0.5,2028-10-14,,0.528,41490.11,297.7,,260.31
113668,鹿山转债,146.195,-4.43,603051,鹿山新材,23.76,-4.0,2.2,16.05,148.04,-1.24,A+,11.235,20.865,5.3,2029-03-27,3.521,1.879,46825.03,168.51,-5.46,144.96
123056,雪榕转债,150.2,4.82,300511,雪榕生物,6.2,5.98,2.89,4.1,151.22,-0.67,A,2.87,4.92,2.8,2026-06-24,,0.927,309839.34,2142.33,,149.53
113641,华友转债,148.824,1.37,603799,华友钴业,51.56,1.96,2.44,34.43,149.75,-0.62,AA+,24.101,44.759,0.5,2028-02-24,,4.757,138764.44,195.71,,148.2
123161,强联转债,182.374,3.24,300850,新强联,40.0,4.44,2.69,21.8,183.49,-0.61,AA,15.26,28.34,1.1,2028-10-11,,1.282,200325.42,837.0,,181.76
127097,三羊转债,134.89,3.23,001317,三羊马,50.79,3.06,4.88,37.43,135.69,-0.59,A+,26.201,48.659,10.5,2029-10-26,,1.64,219487.34,972.97,,134.3
127107,领益转债,153.1,-2.98,002600,领益智造,14.03,-3.17,4.82,9.13,153.67,-0.37,AA+,6.391,11.869,0.9,2030-11-18,,8.575,47167.23,35.45,,152.73
123200,海泰转债,155.299,-1.71,301022,海泰科,40.49,-1.91,3.52,26.0,155.73,-0.28,A,18.2,33.8,2.6,2029-06-27,,0.669,27458.72,265.55,,155.02
128105,长集转债,137.0,-2.14,002616,长青集团,7.28,-1.09,1.85,5.3,137.36,-0.26,AA-,3.71,6.89,17.5,2026-04-09,0.553,6.014,8632.52,10.42,-35.79,136.74
123166,蒙泰转债,127.538,-0.05,300876,蒙泰高新,30.0,-1.61,3.76,23.47,127.82,-0.22,A,16.429,30.511,14.1,2028-11-02,3.123,2.917,11781.27,31.61,-1.85,127.32
113569,科达转债,128.577,1.78,603660,苏州科达,8.22,1.61,5.14,6.38,128.84,-0.2,A-,4.466,8.294,4.2,2026-03-09,0.469,1.866,21258.25,88.29,-22.54,128.38
123089,九洲转2,125.675,-1.62,300040,九洲集团,6.85,-1.58,1.73,5.44,125.92,-0.19,AA-,3.808,7.072,3.3,2026-12-21,,1.138,9718.68,67.68,,125.49
128076,金轮转债,119.812,-1.77,002722,物产金轮,16.01,-0.99,1.26,13.34,120.02,-0.17,AA-,9.338,17.342,5.3,2025-10-14,0.069,1.534,3554.04,19.27,-119.56,119.64
128081,海亮转债,135.151,0.92,002203,海亮股份,12.45,0.73,1.92,9.2,135.33,-0.13,AA,6.44,11.96,0.8,2025-11-21,,2.068,16185.77,58.2,,135.02
123147,中辰转债,139.85,-0.46,300933,中辰股份,9.0,-0.55,2.8,6.43,139.97,-0.08,AA-,4.501,8.359,2.1,2028-05-31,,1.023,22463.16,154.29,,139.77
123244,松原转债,142.489,-1.86,300893,松原安全,28.97,-2.1,6.37,20.32,142.57,-0.06,A+,14.224,26.416,1.2,2030-08-01,,0.627,7512.91,83.4,,142.43
113030,东风转债,151.092,-0.63,601515,东峰集团,4.68,1.3,1.7,3.1,150.97,0.08,AA,2.17,4.03,2.2,2025-12-24,0.263,1.907,8068.7,28.0,-99.4,151.17
113669,景23转债,304.162,-0.82,603228,景旺电子,72.64,-0.71,6.03,23.91,303.81,0.12,AA,16.737,31.083,0.7,2029-04-04,,4.791,168691.65,116.77,,304.28
111007,永和转债,144.014,2.06,605020,永和股份,28.28,1.84,2.94,19.68,143.7,0.22,AA-,13.776,25.584,2.3,2028-10-11,3.063,3.147,26404.86,58.32,-6.04,144.23
127081,中旗转债,382.0,3.56,001212,中旗新材,56.18,5.84,6.05,14.76,380.62,0.36,A+,10.332,19.188,2.4,2029-03-03,3.455,2.163,359332.81,430.3,-29.63,382.36
123217,富仕转债,150.233,-3.56,300852,四会富仕,44.13,-3.84,3.72,29.57,149.24,0.67,AA-,20.699,38.441,8.4,2029-08-08,3.888,5.125,40759.23,51.93,-6.94,150.9
127055,精装转债,204.0,-2.29,002989,中天精装,37.49,-1.37,4.81,18.5,202.65,0.67,AA-,12.95,24.05,3.0,2028-02-22,2.427,2.085,27686.9,64.7,-20.34,204.67
123247,万凯转债,171.71,-2.13,301216,万凯新材,19.25,-1.38,1.87,11.3,170.35,0.8,AA,7.91,14.69,34.2,2030-08-16,4.91,21.776,30066.62,7.93,-8.0,172.51
113628,晨丰转债,139.992,-1.21,603685,晨丰科技,17.73,-0.95,2.57,12.77,138.84,0.83,A,8.939,16.601,10.8,2027-08-23,1.926,3.361,7986.52,16.99,-8.78,140.82
111016,神通转债,161.35,-1.21,605228,神通科技,18.43,0.44,5.0,11.52,159.98,0.85,AA-,8.064,14.976,6.9,2029-07-25,3.849,5.492,21734.09,24.57,-7.66,162.2
123243,严牌转债,144.75,-1.33,301081,严牌股份,10.41,0.0,2.12,7.27,143.19,1.09,A+,5.089,9.451,14.1,2030-07-10,4.808,3.177,10605.17,23.15,-4.11,145.84
123049,维尔转债,126.186,0.02,300190,维尔利,4.43,1.14,1.27,3.55,124.79,1.12,A-,2.485,4.615,25.6,2026-04-13,0.564,8.88,4229.93,3.79,-11.49,127.31
