债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级
118058,微导转债,2025-08-06,718147,688147,微导纳米,0.0014953,,AA
127110,广核转债,2025-07-09,073816,003816,中国广核,0.0186422035,2025-07-25,AAA
111023,利柏转债,2025-07-03,713167,605167,利柏特,0.00173477,2025-07-22,AA
113696,伯25转债,2025-07-01,754596,603596,伯特利,0.00894996,2025-07-28,AA
118057,甬矽转债,2025-06-26,718362,688362,甬矽电子,0.004213,2025-07-16,A+
113695,华辰转债,2025-06-20,754097,603097,江苏华辰,0.0003492,2025-07-10,A+
111022,锡振转债,2025-06-18,713319,605319,无锡振华,0.00091285,2025-07-14,AA-
123257,安克转债,2025-06-16,370866,300866,安克创新,0.0026475779,2025-07-04,AA+
127109,电化转债,2025-06-16,072125,002125,湘潭电化,0.0015321157,2025-07-04,AA
118056,路维转债,2025-06-11,718401,688401,路维光电,0.00165975,2025-07-10,AA-
123256,恒帅转债,2025-05-29,370969,300969,恒帅股份,0.0003825294,2025-06-17,A+
118055,伟测转债,2025-04-09,718372,688372,伟测科技,0.00471648,2025-04-30,AA
113694,清源转债,2025-04-08,754628,603628,清源股份,0.00208787,2025-04-25,A+
118054,安集转债,2025-04-07,718019,688019,安集科技,0.00398045,2025-04-25,AA-
123255,鼎龙转债,2025-04-02,370054,300054,鼎龙股份,0.0032754809,2025-04-23,AA
127108,太能转债,2025-03-28,070591,000591,太阳能,0.0135084085,2025-04-16,AA+
123254,亿纬转债,2025-03-24,370014,300014,亿纬锂能,0.0396868603,2025-04-11,AA+
113693,志邦转债,2025-03-18,754801,603801,志邦家居,0.00171145,2025-04-08,AA
118053,正帆转债,2025-03-18,718596,688596,正帆科技,0.00392766,2025-04-03,AA
118052,浩瀚转债,2025-03-13,718292,688292,浩瀚深度,0.0012572,2025-04-07,A+
123253,永贵转债,2025-03-13,370351,300351,永贵电器,0.0031973118,2025-03-28,AA-
113070,渝水转债,2025-01-09,783158,601158,重庆水务,0.01357232,2025-02-13,AAA
123252,银邦转债,2025-01-07,370337,300337,银邦股份,0.0051516331,2025-01-24,AA-
110098,南药转债,2024-12-25,733713,600713,南京医药,0.00494045,2025-01-20,AA+
123251,华医转债,2024-12-23,371235,301235,华康洁净,0.0027141027,2025-01-09,A+
118051,皓元转债,2024-11-28,718131,688131,皓元医药,0.00341,2024-12-19,AA-
127107,领益转债,2024-11-18,072600,002600,领益智造,0.005752783,2024-12-06,AA+
123250,嘉益转债,2024-11-07,371004,301004,嘉益股份,0.0032254984,2024-11-26,A+
113692,保隆转债,2024-10-31,754197,603197,保隆科技,0.00558023,2024-11-27,AA
113691,和邦转债,2024-10-28,754077,603077,和邦生物,0.02407311,2024-11-19,AA
110097,天润转债,2024-10-24,733419,600419,天润乳业,0.00442529,2024-11-15,AA
123249,英搏转债,2024-10-24,370681,300681,英搏尔,0.0034318708,2024-11-11,AA
113690,豪24转债,2024-10-23,754809,603809,豪能股份,0.00131908,2024-11-20,AA-
113688,国检转债,2024-10-17,754060,603060,国检集团,0.00202207,2024-11-12,AA+
113689,洛凯转债,2024-10-17,754829,603829,洛凯股份,0.00053307,2024-11-11,AA-
118050,航宇转债,2024-08-21,718239,688239,航宇科技,0.00327929,2024-09-10,AA-
123248,恒辉转债,2024-08-21,370952,300952,恒辉安防,0.000912737,2024-09-12,AA-
123247,万凯转债,2024-08-16,371216,301216,万凯新材,0.0219868882,2024-09-05,AA
123246,远信转债,2024-08-16,371053,301053,远信工业,0.0003409553,2024-09-03,A
123245,集智转债,2024-08-14,370553,300553,集智股份,0.0012028753,2024-08-28,A
127106,伟隆转债,2024-08-13,072871,002871,伟隆股份,0.0004217956,2024-08-28,A
110096,豫光转债,2024-08-12,733531,600531,豫光金铅,0.00408851,2024-09-03,AA
118049,汇成转债,2024-08-07,718403,688403,汇成股份,0.00606009,2024-09-02,AA-
123244,松原转债,2024-08-01,370893,300893,松原安全,0.0006162684,2024-08-22,A+
111021,奥锐转债,2024-07-26,713116,605116,奥锐特,0.00154693,2024-08-15,AA-
111020,合顺转债,2024-07-22,713166,605166,聚合顺,0.00085277,2024-08-15,AA-
113687,振华转债,2024-07-12,754067,603067,振华股份,0.00133007,2024-08-02,AA
123243,严牌转债,2024-07-10,371081,301081,严牌股份,0.0010868486,2024-07-26,A+
123242,赛龙转债,2024-07-08,371131,301131,聚赛龙,0.0008402282,2024-07-29,A+
123241,欧通转债,2024-07-05,370870,300870,欧陆通,0.0026145421,2024-07-26,AA-
113686,泰瑞转债,2024-07-02,754289,603289,泰瑞机器,0.00058458,2024-07-24,AA-
118048,利扬转债,2024-07-02,718135,688135,利扬芯片,0.00446186,2024-07-19,A+
113685,升24转债,2024-06-14,754305,603305,旭升集团,0.03292173,2024-07-10,AA-
111019,宏柏转债,2024-04-17,713366,605366,宏柏新材,0.00419888,2024-05-14,AA-
113684,湘泵转债,2024-04-01,754319,603319,美湖股份,0.00159843,2024-04-29,AA-
113683,伟24转债,2024-03-28,754568,603568,伟明环保,0.00033243,2024-04-22,AA
113682,益丰转债,2024-03-04,754939,603939,益丰药房,0.01059669,2024-03-27,AA
127105,龙星转债,2024-02-01,072442,002442,龙星科技,0.0054914743,2024-03-06,AA-
123240,楚天转债,2024-01-31,370358,300358,楚天科技,0.0043068188,2024-02-29,AA
127104,姚记转债,2024-01-25,072605,002605,姚记科技,0.0018660693,2024-02-26,A+
123239,锋工转债,2024-01-19,370488,300488,恒锋工具,0.0007342904,2024-02-22,A+
123238,卡倍转02,2024-01-11,370863,300863,卡倍亿,0.0008165958,2024-02-01,A+
123237,佳禾转债,2024-01-04,370793,300793,佳禾智能,0.0042312552,2024-01-24,A+
127103,东南转债,2024-01-03,072135,002135,东南网架,0.0063762297,2024-01-24,AA
113681,镇洋转债,2023-12-29,754213,603213,镇洋发展,0.00098724,2024-01-17,AA-
111018,华康转债,2023-12-25,713077,605077,华康股份,0.00278331,2024-01-15,AA-
127102,浙建转债,2023-12-25,072761,002761,浙江建投,0.005139885,2024-01-16,AA+
123236,家联转债,2023-12-22,371193,301193,家联科技,0.0009433278,2024-01-18,AA-
113069,博23转债,2023-12-22,783137,601137,博威合金,0.00671801,2024-01-18,AA
127101,豪鹏转债,2023-12-22,071283,001283,豪鹏科技,0.0043906434,2024-01-11,AA-
127100,神码转债,2023-12-21,070034,000034,神州数码,0.0044770632,2024-01-19,AA
123235,亿田转债,2023-12-21,370911,300911,亿田智能,0.0010338434,2024-01-12,AA-
118046,诺泰转债,2023-12-15,718076,688076,诺泰生物,0.00172269,2024-01-18,A+
123234,中能转债,2023-12-11,370062,300062,中能电气,0.001357269,2023-12-29,A+
127099,盛航转债,2023-12-06,071205,001205,盛航股份,0.0027218265,2023-12-28,AA-
123233,凯盛转债,2023-11-29,371069,301069,凯盛新材,0.0012234346,2023-12-15,AA-
123232,金现转债,2023-11-27,370830,300830,金现代,0.0014685712,2023-12-19,A+
127098,欧晶转债,2023-11-24,071269,001269,欧晶科技,0.0017127732,2023-12-15,AA-
113680,丽岛转债,2023-11-15,754937,603937,丽岛新材,0.00048969,2023-12-05,A+
123230,金钟转债,2023-11-09,371133,301133,金钟股份,0.0004519079,2023-12-01,A
123231,信测转债,2023-11-09,370938,300938,信测标准,0.0010515875,2023-11-29,AA-
127097,三羊转债,2023-10-26,071317,001317,三羊马,0.0004248122,2023-11-17,A+
113679,芯能转债,2023-10-26,754105,603105,芯能科技,0.00265816,2023-11-24,AA-
127096,泰坦转债,2023-10-25,073036,003036,泰坦股份,0.0004295598,2023-11-15,A
123229,艾录转债,2023-10-23,371062,301062,上海艾录,0.0015666985,2023-11-20,A+
123228,震裕转债,2023-10-20,370953,300953,震裕科技,0.0033437479,2023-11-09,AA-
123227,雅创转债,2023-10-20,371099,301099,雅创电子,0.0008851171,2023-11-10,A+
113678,中贝转债,2023-10-19,754220,603220,中贝通信,0.00148949,2023-11-21,A+
127095,广泰转债,2023-10-18,072111,002111,威海广泰,0.0022347742,2023-11-10,AA-
127094,红墙转债,2023-10-18,072809,002809,红墙股份,0.000963578,2023-11-08,A+
127093,章鼓转债,2023-10-17,072598,002598,山东章鼓,0.0007387761,2023-11-03,A+
123226,中富转债,2023-10-16,370814,300814,中富电路,0.0008351318,2023-11-03,AA-
123225,翔丰转债,2023-10-10,370890,300890,翔丰华,0.0035777723,2023-10-26,AA-
127092,运机转债,2023-09-21,071288,001288,运机集团,0.0017956304,2023-10-20,AA-
123224,宇邦转债,2023-09-19,371266,301266,宇邦新材,0.0009705603,2023-10-18,A+
123223,九典转02,2023-09-15,370705,300705,九典制药,0.0006352217,2023-10-13,A+
113677,华懋转债,2023-09-14,754306,603306,华懋科技,0.00326065,2023-10-12,AA-
118045,盟升转债,2023-09-12,718311,688311,盟升电子,0.00089357,2023-10-17,A
118044,赛特转债,2023-09-11,718398,688398,赛特新材,0.00056949,2023-10-12,A+
123222,博俊转债,2023-09-08,370926,300926,博俊科技,0.0010404561,2023-09-28,A+
123221,力诺转债,2023-08-23,371188,301188,力诺药包,0.0018983056,2023-09-14,A+
127091,科数转债,2023-08-23,072335,002335,科华数据,0.0052497071,2023-09-12,AA
113676,荣23转债,2023-08-18,754165,603165,荣晟环保,0.00080245,2023-09-13,AA-
123220,易瑞转债,2023-08-18,370942,300942,易瑞生物,0.0028761396,2023-09-06,A+
111017,蓝天转债,2023-08-15,713368,605368,蓝天燃气,0.00084259,2023-09-08,AA
118043,福立转债,2023-08-14,718678,688678,福立旺,0.00147242,2023-09-12,AA-
123219,宇瞳转债,2023-08-11,370790,300790,宇瞳光学,0.0011856348,2023-08-29,A+
113675,新23转债,2023-08-11,754179,603179,新泉股份,0.0028089,2023-09-05,AA-
123218,宏昌转债,2023-08-10,371008,301008,宏昌科技,0.000438974,2023-08-30,A+
118042,奥维转债,2023-08-10,718516,688516,奥特维,0.00203912,2023-09-01,AA-
110095,双良转债,2023-08-08,733481,600481,双良节能,0.00551815,2023-09-08,AA-
123217,富仕转债,2023-08-08,370852,300852,四会富仕,0.0007508153,2023-08-24,AA-
123216,科顺转债,2023-08-04,370737,300737,科顺股份,0.0045649054,2023-08-23,AA
123215,铭利转债,2023-08-03,371268,301268,铭利达,0.0018818159,2023-08-23,AA-
123214,东宝转债,2023-07-31,370239,300239,东宝生物,0.0019172228,2023-08-18,A+
118041,星球转债,2023-07-31,718633,688633,星球石墨,0.00054951,2023-08-22,A+
123213,天源转债,2023-07-28,371127,301127,武汉天源,0.0037859869,2023-08-16,AA-
113068,金铜转债,2023-07-28,783609,601609,金田股份,0.00313136,2023-08-28,AA+
123211,阳谷转债,2023-07-27,370121,300121,阳谷华泰,0.0011936109,2023-08-14,AA-
123210,信服转债,2023-07-27,370454,300454,深信服,0.0024586282,2023-08-18,AA
113067,燃23转债,2023-07-27,783139,601139,深圳燃气,0.01104675,2023-08-18,AAA
123212,立中转债,2023-07-27,370428,300428,立中集团,0.0016998032,2023-08-16,AA-
123209,聚隆转债,2023-07-26,370644,300644,南京聚隆,0.000840233,2023-08-17,A+
118040,宏微转债,2023-07-25,718711,688711,宏微科技,0.00147191,2023-08-14,A
111016,神通转债,2023-07-25,713228,605228,神通科技,0.00043413,2023-08-15,AA-
123208,孩王转债,2023-07-24,371078,301078,孩子王,0.0044397098,2023-08-10,AA
127090,兴瑞转债,2023-07-24,072937,002937,兴瑞科技,0.0010381564,2023-08-15,AA-
123207,冠中转债,2023-07-21,370948,300948,冠中生态,0.0013600673,2023-08-09,A-
113674,华设转债,2023-07-21,754018,603018,华设集团,0.00097532,2023-08-15,AA
118039,煜邦转债,2023-07-20,718597,688597,煜邦电力,0.00166927,2023-08-15,A
123206,开能转债,2023-07-20,370272,300272,开能健康,0.0005681769,2023-08-08,A+
110094,众和转债,2023-07-18,733888,600888,新疆众和,0.00389776,2023-08-14,AA
127089,晶澳转债,2023-07-18,072459,002459,晶澳科技,0.0241433531,2023-08-04,AA+
113672,福蓉转债,2023-07-18,754327,603327,福蓉科技,0.00073622,2023-08-10,AA
113673,岱美转债,2023-07-18,754730,603730,岱美股份,0.00061925,2023-08-10,AA
118038,金宏转债,2023-07-17,718106,688106,金宏气体,0.00221597,2023-08-10,AA-
123205,大叶转债,2023-07-17,370879,300879,大叶股份,0.0007488107,2023-08-08,A+
123204,金丹转债,2023-07-13,370829,300829,金丹科技,0.0015047031,2023-08-02,AA-
113671,武进转债,2023-07-10,754878,603878,武进不锈,0.00072475,2023-08-03,AA
111015,东亚转债,2023-07-06,713177,605177,东亚药业,0.00141941,2023-08-02,A+
118037,上声转债,2023-07-06,718533,688533,上声电子,0.00074907,2023-08-01,A+
127088,赫达转债,2023-07-03,072810,002810,山东赫达,0.0019329397,2023-07-19,AA-
123203,明电转02,2023-07-03,370739,300739,明阳电路,0.0010565991,2023-07-19,AA-
123202,祥源转债,2023-07-03,370980,300980,祥源新材,0.0012570425,2023-07-26,A+
118036,力合转债,2023-06-28,718589,688589,力合微,0.00119992,2023-07-20,AA-
123200,海泰转债,2023-06-27,371022,301022,海泰科,0.0006950516,2023-07-17,A
123201,纽泰转债,2023-06-27,371229,301229,纽泰格,0.0008561319,2023-07-18,A
111014,李子转债,2023-06-20,713337,605337,李子园,0.00084926,2023-07-13,AA
127087,星帅转2,2023-06-14,072860,002860,星帅尔,0.0011459538,2023-07-17,A+
123199,山河转债,2023-06-12,370452,300452,山河药辅,0.0009127967,2023-07-07,A+
118035,国力转债,2023-06-12,718103,688103,国力股份,0.00113483,2023-07-06,A+
127086,恒邦转债,2023-06-12,072237,002237,恒邦股份,0.0115630125,2023-07-07,AA+
123198,金埔转债,2023-06-08,371098,301098,金埔园林,0.0020882571,2023-07-07,A
123197,光力转债,2023-05-08,370480,300480,光力科技,0.0005682849,2023-05-29,A+
118034,晶能转债,2023-04-20,718223,688223,晶科能源,0.01087005,2023-05-19,AA+
123196,正元转02,2023-04-18,370645,300645,正元智慧,0.0006970395,2023-05-19,A+
123195,蓝晓转02,2023-04-17,370487,300487,蓝晓科技,0.0008360413,2023-05-08,A+
113670,金23转债,2023-04-17,754180,603180,金牌家居,0.00062069,2023-05-16,AA
123194,百洋转债,2023-04-14,371015,301015,百洋医药,0.0010600487,2023-05-05,AA-
123193,海能转债,2023-04-13,370787,300787,海能实业,0.0012747352,2023-05-09,AA-
123192,科思转债,2023-04-13,370856,300856,科思股份,0.0010951456,2023-05-11,AA-
127085,韵达转债,2023-04-11,072120,002120,韵达股份,0.003541896,2023-05-23,AA+
123191,智尚转债,2023-04-10,370918,300918,南山智尚,0.0006109102,2023-04-28,AA-
123190,道氏转02,2023-04-07,370409,300409,道氏技术,0.0072192519,2023-04-25,AA-
123189,晓鸣转债,2023-04-06,370967,300967,晓鸣股份,0.0007801534,2023-04-25,A
113669,景23转债,2023-04-04,754228,603228,景旺电子,0.00171213,2023-05-09,AA
123187,超达转债,2023-04-04,371186,301186,超达装备,0.0004562974,2023-04-25,A
123188,水羊转债,2023-04-04,370740,300740,水羊股份,0.0011610488,2023-04-25,A+
123185,能辉转债,2023-03-31,371046,301046,能辉科技,0.0018787062,2023-04-20,A+
123186,志特转债,2023-03-31,370986,300986,志特新材,0.0009688248,2023-04-21,A+
113668,鹿山转债,2023-03-27,754051,603051,鹿山新材,0.00125528,2023-04-27,A+
127084,柳工转2,2023-03-27,070528,000528,柳工,0.0147874707,2023-04-20,AAA
127083,山路转债,2023-03-24,070498,000498,山东路桥,0.0089251959,2023-04-26,AAA
123183,海顺转债,2023-03-23,370501,300501,海顺新材,0.001257266,2023-04-20,AA-
123184,天阳转债,2023-03-23,370872,300872,天阳科技,0.0033529257,2023-04-18,AA-
123182,广联转债,2023-03-22,370900,300900,广联航空,0.0018586896,2023-04-17,A+
118033,华特转债,2023-03-21,718268,688268,华特气体,0.00520423,2023-04-14,AA-
123181,亚康转债,2023-03-21,371085,301085,亚康股份,0.000648472,2023-04-11,A+
113667,春23转债,2023-03-17,754890,603890,春秋电子,0.0013279,2023-04-11,AA-
113066,平煤转债,2023-03-16,783666,601666,平煤股份,0.00911085,2023-04-10,AAA
110093,神马转债,2023-03-16,733810,600810,神马股份,0.00484424,2023-04-20,AAA
123180,浙矿转债,2023-03-09,370837,300837,浙矿股份,0.0012734856,2023-03-28,AA-
127082,亚科转债,2023-03-09,072540,002540,亚太科技,0.0028099057,2023-04-27,AA
111013,新港转债,2023-03-08,713162,605162,新中港,0.00041324,2023-05-05,AA-
118032,建龙转债,2023-03-08,718357,688357,建龙微纳,0.00231615,2023-04-07,AA-
123179,立高转债,2023-03-07,370973,300973,立高食品,0.0019133484,2023-03-27,AA-
123178,花园转债,2023-03-06,370401,300401,花园生物,0.0041808277,2023-03-23,AA-
127081,中旗转债,2023-03-03,071212,001212,中旗新材,0.0007577099,2023-04-25,A+
123177,测绘转债,2023-03-02,370826,300826,测绘股份,0.0007691134,2023-03-24,A+
123176,精测转2,2023-03-02,370567,300567,精测电子,0.0043882511,2023-03-22,AA-
113666,爱玛转债,2023-02-23,754529,603529,爱玛科技,0.00177199,2023-03-20,AA
123175,百畅转债,2023-02-22,370614,300614,百川畅银,0.0014455717,2023-03-17,A
123174,精锻转债,2023-02-15,370258,300258,精锻科技,0.0014511423,2023-03-07,AA-
118031,天23转债,2023-02-13,718599,688599,天合光能,0.02789406,2023-03-15,AA
110092,三房转债,2023-01-06,733370,600370,三房巷,0.00223712,2023-02-07,A+
111012,福新转债,2023-01-04,713488,605488,福莱新材,0.00047102,2023-02-07,A+
111011,冠盛转债,2023-01-03,713088,605088,冠盛股份,0.00112556,2023-02-06,AA-
127080,声迅转债,2022-12-30,073004,003004,*ST声迅,0.0006709717,2023-02-10,A
118030,睿创转债,2022-12-30,718002,688002,睿创微纳,0.00512519,2023-02-10,AA
123173,恒锋转债,2022-12-30,370605,300605,恒锋信息,0.0007199338,2023-02-08,A-
127079,华亚转债,2022-12-16,073043,003043,华亚智能,0.0007307976,2023-01-16,A+
113665,汇通转债,2022-12-15,754176,603176,汇通集团,0.00161138,2023-01-11,AA-
118029,富淼转债,2022-12-15,718350,688350,富淼科技,0.00078808,2023-01-09,A
123172,漱玉转债,2022-12-15,371017,301017,漱玉平民,0.001298266,2023-01-06,AA-
127078,优彩转债,2022-12-14,072998,002998,优彩资源,0.0015816006,2023-01-09,A+
110091,合力转债,2022-12-13,733761,600761,安徽合力,0.00520092,2023-01-06,AA+
118028,会通转债,2022-12-06,718219,688219,会通股份,0.00102553,2023-01-04,AA-
113664,大元转债,2022-12-05,754757,603757,大元泵业,0.00053016,2023-01-04,AA-
127077,华宏转债,2022-12-02,072645,002645,华宏科技,0.0018989714,2023-01-10,A
113065,齐鲁转债,2022-11-29,783665,601665,齐鲁银行,0.04258181,2022-12-19,AAA
113663,新化转债,2022-11-28,754867,603867,新化股份,0.00138483,2022-12-16,AA-
123171,共同转债,2022-11-28,370966,300966,共同药业,0.0008545904,2022-12-16,A
118027,宏图转债,2022-11-28,718066,688066,航天宏图,0.0033846,2022-12-22,BBB+
113662,豪能转债,2022-11-25,754809,603809,豪能股份,0.00083925,2022-12-23,AA-
123170,南电转债,2022-11-24,370346,300346,南大光电,0.0034265105,2022-12-15,AA-
123168,惠云转债,2022-11-23,370891,300891,惠云钛业,0.0017122918,2022-12-14,AA-
123169,正海转债,2022-11-23,370224,300224,正海磁材,0.0034231574,2022-12-12,AA-
113661,福22转债,2022-11-22,754806,603806,福斯特,0.00370763,2022-12-22,AA
113660,寿22转债,2022-11-17,754896,603896,寿仙谷,0.00061196,2022-12-12,AA-
123167,商络转债,2022-11-17,370975,300975,商络电子,0.0006649965,2022-12-09,A+
113064,东材转债,2022-11-16,783208,601208,东材科技,0.00337118,2022-12-12,AA
111010,立昂转债,2022-11-14,713358,605358,立昂微,0.00870911,2022-12-07,AA
111009,盛泰转债,2022-11-07,713138,605138,盛泰集团,0.0029625,2022-12-01,AA
123166,蒙泰转债,2022-11-02,370876,300876,蒙泰高新,0.0003409429,2022-11-25,A
111008,沿浦转债,2022-11-02,713128,605128,上海沿浦,0.00064158,2022-11-28,A+
113063,赛轮转债,2022-11-02,783058,601058,赛轮轮胎,0.00504709,2022-11-24,AA
123165,回天转债,2022-10-27,370041,300041,回天新材,0.0026221841,2022-11-15,AA-
127076,中宠转2,2022-10-25,072891,002891,中宠股份,0.0027132874,2022-11-21,AA-
118026,利元转债,2022-10-24,718499,688499,利元亨,0.00169089,2022-11-18,A+
118025,奕瑞转债,2022-10-24,718301,688301,奕瑞科技,0.00472555,2022-11-18,AA
118024,冠宇转债,2022-10-24,718772,688772,珠海冠宇,0.00865087,2022-11-17,AA
123164,法本转债,2022-10-21,370925,300925,法本信息,0.0014980607,2022-11-14,A+
127075,百川转2,2022-10-19,072455,002455,百川股份,0.0030028704,2022-11-16,A+
123163,金沃转债,2022-10-14,370984,300984,金沃股份,0.0006837546,2022-11-07,A
113659,莱克转债,2022-10-14,754355,603355,莱克电气,0.00358625,2022-11-15,AA
123162,东杰转债,2022-10-14,370486,300486,东杰智能,0.0022080868,2022-11-04,BBB+
127074,麦米转2,2022-10-13,072851,002851,麦格米特,0.0037867415,2022-11-09,AA-
118023,广大转债,2022-10-13,718186,688186,广大特材,0.00449935,2022-11-09,AA-
123161,强联转债,2022-10-11,370850,300850,新强联,0.0041980672,2022-10-27,AA
111007,永和转债,2022-10-11,713020,605020,永和股份,0.00079744,2022-11-01,AA-
118022,锂科转债,2022-10-11,718779,688779,五矿新能,0.01010987,2022-11-07,AA
113657,再22转债,2022-09-29,754601,603601,再升科技,0.00166489,2022-10-27,AA-
123160,泰福转债,2022-09-28,370992,300992,泰福泵业,0.0011807313,2022-10-25,A
118021,新致转债,2022-09-27,718590,688590,新致软件,0.00210647,2022-11-02,A
