日期,="沪深300.收盘点位",="格雷厄姆指数"
2025-08-26,=4452.5900,=2.5664
2025-08-22,=4378,=2.5691
2025-08-15,=4202.3500,=2.7144
2025-08-08,=4104.9700,=2.8621
2025-08-01,=4054.9300,=2.8865
2025-07-25,=4127.1600,=2.8075
2025-07-18,=4058.5500,=2.9684
2025-07-11,=4014.8100,=2.9953
2025-07-04,=3982.2000,=3.0749
2025-06-27,=3921.7600,=3.1092
2025-06-20,=3846.6400,=3.2038
2025-06-13,=3864.1800,=3.1854
2025-06-06,=3873.9800,=3.1533
2025-05-30,=3840.2300,=3.1629
2025-05-23,=3882.2700,=3.0692
2025-05-16,=3889.0900,=3.1307
2025-05-09,=3846.1600,=3.2312
2025-04-30,=3770.5700,=3.3258
2025-04-27,,=3.3094
2025-04-25,=3786.9900,=3.3322
2025-04-18,=3772.5200,=3.3753
2025-04-11,=3750.5200,=3.3918
2025-04-03,=3861.5000,=3.1481
2025-03-28,=3915.1700,=2.9771
2025-03-21,=3914.7000,=2.8733
2025-03-14,=4006.5600,=2.8356
2025-03-07,=3944.0100,=2.9247
2025-02-28,=3890.0500,=3.1264
2025-02-21,=3978.4400,=3.0471
2025-02-14,=3939.0100,=3.2179
2025-02-08,,=3.3708
2025-02-07,=3892.7000,=3.3207
2025-01-27,=3817.0800,=3.4005
2025-01-26,,=3.3381
2025-01-24,=3832.8600,=3.3269
2025-01-17,=3812.3400,=3.3459
2025-01-10,=3732.4800,=3.4974
2025-01-03,=3775.1600,=3.5177
2024-12-27,=3981.0300,=3.1339
2024-12-20,=3927.7400,=3.1297
2024-12-13,=3933.1800,=2.9674
2024-12-06,=3973.1400,=2.6941
2024-11-29,=3916.5800,=2.6661
2024-11-22,=3865.7000,=2.6383
2024-11-15,=3968.8300,=2.5729
2024-11-08,=4104.0500,=2.4698
2024-11-01,=3890.0200,=2.5759
2024-10-25,=3956.4200,=2.5208
2024-10-18,=3925.2300,=2.5821
2024-10-12,,=2.6092
2024-10-11,=3887.1700,=2.5998
2024-09-30,=4017.8500,=2.5072
2024-09-29,,=2.6062
2024-09-27,=3703.6800,=2.8744
2024-09-20,=3201.0500,=3.2549
2024-09-14,,=3.2996
2024-09-13,=3159.2500,=3.1511
2024-09-06,=3231.3500,=3.0858
2024-08-30,=3321.4300,=2.9867
2024-08-23,=3327.1900,=3.0088
2024-08-16,=3345.6300,=2.9051
2024-08-09,=3331.6300,=2.9180
2024-08-02,=3384.3900,=2.9598
2024-07-26,=3409.2900,=2.8834
2024-07-19,=3539.0200,=2.7132
2024-07-12,=3472.4000,=2.7199
2024-07-05,=3431.0600,=2.7250
2024-06-28,=3461.6600,=2.7898
2024-06-21,=3495.6200,=2.6964
2024-06-14,=3541.5300,=2.6558
2024-06-07,=3574.1100,=2.6188
2024-05-31,=3579.9200,=2.5676
2024-05-24,=3601.4800,=2.5431
2024-05-17,=3677.9700,=2.4923
2024-05-11,,=2.4593
2024-05-10,=3666.2800,=2.4948
2024-04-30,=3604.3900,=2.5383
2024-04-28,,=2.5591
2024-04-26,=3584.2700,=2.6391
2024-04-19,=3541.6600,=2.6737
2024-04-12,=3475.8400,=2.6585
2024-04-07,,=2.5848
2024-04-03,=3567.8000,=2.5889
2024-03-29,=3537.4800,=2.6039
2024-03-22,=3545,=2.5725
2024-03-15,=3569.9900,=2.5622
2024-03-08,=3544.9100,=2.6283
2024-03-01,=3537.8000,=2.5511
2024-02-23,=3489.7400,=2.5503
2024-02-09,,=2.6520
2024-02-08,=3364.9300,=2.6583
2024-02-02,=3179.6300,=2.7851
2024-01-26,=3333.8200,=2.5009
2024-01-19,=3269.7800,=2.5435
2024-01-12,=3284.1700,=2.4742
2024-01-05,=3329.1100,=2.4334
2023-12-31,,=2.3476
2023-12-29,=3431.1100,=2.3182
2023-12-22,=3337.2300,=2.3764
2023-12-15,=3341.5500,=2.3140
2023-12-08,=3399.4600,=2.2466
2023-12-01,=3482.8800,=2.2049
2023-11-24,=3538.0100,=2.1624
2023-11-17,=3568.0700,=2.1924
2023-11-10,=3586.4900,=2.2107
2023-11-03,=3584.1400,=2.2113
2023-10-27,=3562.3900,=2.1789
2023-10-20,=3510.5900,=2.2097
2023-10-13,=3663.4100,=2.1510
2023-10-08,,=2.1518
2023-09-28,=3689.5200,=2.1417
2023-09-22,=3738.9300,=2.1277
2023-09-15,=3708.7800,=2.1654
2023-09-08,=3739.9900,=2.1618
2023-09-01,=3791.4900,=2.1933
2023-08-25,=3709.1500,=2.3113
2023-08-18,=3784,=2.2694
2023-08-11,=3884.2500,=2.1695
2023-08-04,=4020.5800,=2.0951
2023-07-28,=3992.7400,=2.1028
2023-07-21,=3821.9100,=2.1971
2023-07-14,=3899.1000,=2.1185
2023-07-07,=3825.7000,=2.1478
2023-06-30,=3842.4500,=2.1445
2023-06-25,,=2.1324
2023-06-21,=3864.0300,=2.1284
2023-06-16,=3963.3500,=2.0792
2023-06-09,=3836.7000,=2.1139
2023-06-02,=3861.8300,=2.0876
2023-05-26,=3850.9500,=2.0846
2023-05-19,=3944.5400,=2.0509
2023-05-12,=3937.7600,=2.0691
2023-05-06,,=2.0132
2023-05-05,=4016.8800,=1.9786
2023-04-28,=4029.0900,=1.9944
2023-04-23,,=1.9557
2023-04-21,=4032.5700,=1.9515
2023-04-14,=4092,=1.9333
2023-04-07,=4123.2800,=1.9190
2023-03-31,=4050.9300,=1.9560
2023-03-24,=4027.0500,=1.9445
2023-03-17,=3958.8200,=1.9708
2023-03-10,=3967.1400,=1.9790
2023-03-03,=4130.5500,=1.8940
2023-02-24,=4061.0500,=1.9187
2023-02-17,=4034.5100,=1.9539
2023-02-10,=4106.3100,=1.9213
2023-02-03,=4141.6300,=1.9240
2023-01-29,,=1.9191
2023-01-20,=4181.5300,=1.9117
2023-01-13,=4074.3800,=1.9807
2023-01-06,=3980.8900,=2.0545
2022-12-31,,=2.1094
2022-12-30,=3871.6300,=2.1170
2022-12-23,=3828.2200,=2.1459
2022-12-16,=3954.2300,=2.0182
2022-12-09,=3998.2400,=2.0049
2022-12-02,=3870.9500,=2.0529
2022-11-25,=3775.7800,=2.1253
2022-11-18,=3801.5700,=2.1189
2022-11-11,=3788.4400,=2.1971
2022-11-04,=3767.1700,=2.2301
2022-10-28,=3541.3300,=2.4188
2022-10-21,=3742.8900,=2.2516
2022-10-14,=3842.4700,=2.2467
2022-10-09,,=2.2583
2022-09-30,=3804.8900,=2.2461
2022-09-23,=3856.0200,=2.2610
2022-09-16,=3932.6800,=2.2394
2022-09-09,=4093.7900,=2.1702
2022-09-02,=4023.6100,=2.2241
2022-08-26,=4107.5500,=2.1849
2022-08-19,=4151.0700,=2.1827
2022-08-12,=4191.1500,=2.0546
2022-08-05,=4156.9100,=2.0832
2022-07-29,=4170.1000,=2.0422
2022-07-22,=4238.2300,=2.0116
2022-07-15,=4248.5300,=2.0384
2022-07-08,=4428.7800,=1.9329
2022-07-01,=4466.7200,=1.9305
2022-06-24,=4394.7700,=1.9699
2022-06-17,=4309.0400,=2.0171
2022-06-10,=4238.9900,=2.0665
2022-06-02,=4089.5700,=2.1130
2022-05-27,=4001.3000,=2.2168
2022-05-20,=4077.6000,=2.1213
2022-05-13,=3988.6000,=2.1502
2022-05-07,,=2.2070
2022-05-06,=3908.8200,=2.1974
2022-04-29,=4016.2400,=2.1932
2022-04-24,,=2.1705
2022-04-22,=4013.2500,=2.2301
2022-04-15,=4188.7500,=2.1381
2022-04-08,=4230.7700,=2.0919
2022-04-02,,=2.0499
2022-04-01,=4276.1600,=2.0309
2022-03-25,=4174.5700,=2.0517
2022-03-18,=4265.9000,=2.0295
2022-03-11,=4306.5200,=2.0065
2022-03-04,=4496.4300,=1.9113
2022-02-25,=4573.4200,=1.9233
2022-02-18,=4651.2400,=1.8912
2022-02-11,=4601.4000,=1.9239
2022-01-30,,=2.0249
2022-01-28,=4563.7700,=2.0172
2022-01-21,=4779.3100,=1.9212
2022-01-14,=4726.7300,=1.8486
2022-01-07,=4822.3700,=1.8110
2021-12-31,=4940.3700,=1.7993
2021-12-24,=4921.3400,=1.7899
2021-12-17,=4954.7600,=1.7567
2021-12-10,=5055.1200,=1.7694
2021-12-03,=4901.0200,=1.7762
2021-11-26,=4860.1300,=1.8266
2021-11-19,=4890.0600,=1.7631
2021-11-12,=4888.3700,=1.7695
2021-11-05,=4842.3500,=1.8323
2021-10-29,=4908.7700,=1.7685
2021-10-22,=4959.7300,=1.7477
2021-10-15,=4932.1100,=1.7689
2021-10-09,,=1.7865
2021-10-08,=4929.9400,=1.8119
2021-09-30,=4866.3800,=1.8255
2021-09-26,,=1.7992
2021-09-24,=4849.4300,=1.8042
2021-09-18,,=1.7995
2021-09-17,=4855.9400,=1.8033
2021-09-10,=5013.5200,=1.7599
2021-09-03,=4843.0600,=1.8431
2021-08-27,=4827.0400,=1.7648
2021-08-20,=4769.2700,=1.7838
2021-08-13,=4945.9800,=1.7030
2021-08-06,=4921.5600,=1.7514
2021-07-30,=4811.1700,=1.7681
2021-07-23,=5089.2300,=1.6538
2021-07-16,=5094.7700,=1.6430
2021-07-09,=5069.4400,=1.6092
2021-07-02,=5081.1200,=1.5879
2021-06-25,=5239.9700,=1.5531
2021-06-18,=5102.4700,=1.5724
2021-06-11,=5224.7000,=1.5626
2021-06-04,=5282.2800,=1.5788
2021-05-28,=5321.0900,=1.5863
2021-05-21,=5134.1500,=1.6344
2021-05-14,=5110.5900,=1.6129
2021-05-08,,=1.6407
2021-05-07,=4996.0500,=1.6377
2021-04-30,=5123.4900,=1.6142
2021-04-25,,=1.4721
2021-04-23,=5135.4500,=1.4819
2021-04-16,=4966.1800,=1.4863
2021-04-09,=5035.3400,=1.4253
2021-04-02,=5161.5600,=1.4139
2021-03-26,=5037.9900,=1.3906
2021-03-19,=5007.0900,=1.3703
2021-03-12,=5146.3800,=1.3335
2021-03-05,=5262.8000,=1.3067
2021-02-26,=5336.7600,=1.2914
2021-02-20,,=1.2267
2021-02-19,=5778.8400,=1.2326
2021-02-10,=5807.7200,=1.2435
2021-02-07,,=1.3152
2021-02-05,=5483.4100,=1.3310
2021-01-29,=5351.9600,=1.3238
2021-01-22,=5569.7800,=1.2968
2021-01-15,=5458.0800,=1.3139
2021-01-08,=5495.4300,=1.3064
2020-12-31,=5211.2900,=1.3469
2020-12-25,=5042.0100,=1.3594
2020-12-18,=4999.9700,=1.3197
2020-12-11,=4889.6300,=1.4244
2020-12-04,=5065.9200,=1.3917
2020-11-27,=4980.7700,=1.3976
2020-11-20,=4943.2900,=1.3965
2020-11-13,=4856.8500,=1.4363
2020-11-06,=4885.7200,=1.4607
2020-10-30,=4695.3300,=1.5218
2020-10-23,=4718.4900,=1.4409
2020-10-16,=4791.6800,=1.3900
2020-10-10,,=1.4311
2020-10-09,=4681.1400,=1.4500
2020-09-30,=4587.4000,=1.4816
2020-09-27,,=1.4918
2020-09-25,=4570.0200,=1.4996
2020-09-18,=4737.0900,=1.4474
2020-09-11,=4627.2800,=1.4763
2020-09-04,=4770.2200,=1.4267
2020-08-28,=4844.2700,=1.4960
2020-08-21,=4718.8400,=1.5685
2020-08-14,=4704.6300,=1.5919
2020-08-07,=4707.9300,=1.5530
2020-07-31,=4695.0500,=1.5828
2020-07-24,=4505.5900,=1.7092
2020-07-17,=4544.7000,=1.6417
2020-07-10,=4753.1300,=1.5206
2020-07-03,=4419.6000,=1.7246
2020-06-28,,=1.8041
2020-06-24,=4138.9900,=1.7823
2020-06-19,=4098.7100,=1.7952
2020-06-12,=4003.0800,=1.9404
2020-06-05,=4001.2500,=1.8707
2020-05-29,=3867.0200,=2.0486
2020-05-22,=3824.0600,=2.1469
2020-05-15,=3912.8200,=2.0489
2020-05-09,,=2.0715
2020-05-08,=3963.6200,=2.1549
2020-04-30,=3912.5800,=2.1937
2020-04-26,,=2.3898
2020-04-24,=3796.9700,=2.3539
2020-04-17,=3839.4900,=2.3447
2020-04-10,=3769.1800,=2.3921
2020-04-03,=3713.2200,=2.3681
2020-03-27,=3710.0600,=2.3254
2020-03-20,=3653.2200,=2.2548
2020-03-13,=3895.3100,=2.1461
2020-03-06,=4138.5100,=2.0680
2020-02-28,=3940.0500,=2.0941
2020-02-21,=4149.4900,=1.9035
2020-02-14,=3987.7300,=1.9941
2020-02-07,=3899.8700,=2.0751
2020-01-23,=4003.9000,=1.8944
2020-01-19,,=1.7882
2020-01-17,=4154.8500,=1.7859
2020-01-10,=4163.1800,=1.7866
2020-01-03,=4144.9600,=1.7678
2019-12-27,=4022.0300,=1.8432
2019-12-20,=4017.2500,=1.8137
2019-12-13,=3968.2200,=1.8451
2019-12-06,=3902.3900,=1.8812
2019-11-29,=3828.6700,=1.9230
2019-11-22,=3849.9900,=1.9081
2019-11-15,=3877.0900,=1.8695
2019-11-08,=3973.0100,=1.7999
2019-11-01,=3952.3900,=1.8074
2019-10-25,=3896.7900,=1.8181
2019-10-18,=3869.3800,=1.8451
2019-10-12,,=1.8317
2019-10-11,=3911.7300,=1.8494
2019-09-30,=3814.5300,=1.8958
2019-09-29,,=1.8763
2019-09-27,=3852.6500,=1.9037
2019-09-20,=3935.6500,=1.8504
2019-09-12,=3972.3800,=1.8453
2019-09-06,=3948.5100,=1.9104
2019-08-30,=3799.5900,=1.9753
2019-08-23,=3820.8600,=1.9543
2019-08-16,=3710.5400,=2.0305
2019-08-09,=3633.5300,=2.0540
2019-08-02,=3747.4400,=1.9378
2019-07-26,=3858.5700,=1.8429
2019-07-19,=3807.9600,=1.8631
2019-07-12,=3808.7300,=1.8644
2019-07-05,=3893.2000,=1.8063
2019-06-28,=3825.5900,=1.8033
2019-06-21,=3833.9400,=1.7864
2019-06-14,=3654.8800,=1.8654
2019-06-06,=3564.6800,=1.9154
2019-05-31,=3629.7900,=1.8261
2019-05-24,=3593.9100,=1.8395
2019-05-17,=3648.7600,=1.8397
2019-05-10,=3730.4500,=1.7825
2019-05-05,,=1.6740
2019-04-30,=3913.2100,=1.6645
2019-04-28,,=1.7109
2019-04-26,=3889.2700,=1.7262
2019-04-19,=4120.6100,=1.6643
2019-04-12,=3988.6200,=1.7365
2019-04-04,=4062.2300,=1.7375
2019-03-29,=3872.3400,=1.9469
2019-03-22,=3833.8000,=1.9268
2019-03-15,=3745.0100,=1.9650
2019-03-08,=3657.5800,=1.9960
2019-03-01,=3749.7100,=1.9672
2019-02-22,=3520.1200,=2.1236
2019-02-15,=3338.7000,=2.2800
2019-02-03,,=2.3423
2019-02-01,=3247.4000,=2.3102
2019-01-25,=3184.4700,=2.3190
2019-01-18,=3168.1700,=2.3624
2019-01-11,=3094.7800,=2.3862
2019-01-04,=3035.8700,=2.3959
2018-12-30,,=2.3656
2018-12-28,=3010.6500,=2.3012
2018-12-21,=3029.4000,=2.2796
2018-12-14,=3165.9100,=2.1889
2018-12-07,=3181.5600,=2.2120
2018-11-30,=3172.6900,=2.1834
2018-11-23,=3143.4800,=2.1674
2018-11-16,=3257.6700,=2.1038
2018-11-09,=3167.4400,=2.1089
2018-11-02,=3290.2500,=2.0139
2018-10-26,=3173.6400,=2.0663
2018-10-19,=3134.9500,=2.0913
2018-10-12,=3170.7300,=2.0364
2018-09-30,,=1.8554
2018-09-28,=3438.8600,=1.8226
2018-09-21,=3410.4900,=1.8330
2018-09-14,=3242.0900,=1.9282
2018-09-07,=3277.6400,=1.9096
2018-08-31,=3334.5000,=1.9187
2018-08-24,=3325.3300,=1.8546
2018-08-17,=3229.6200,=1.8583
2018-08-10,=3405.0200,=1.8157
2018-08-03,=3315.2839,=1.8991
2018-07-27,=3521.2269,=1.7622
2018-07-20,=3492.8938,=1.7846
2018-07-13,=3492.6897,=1.7921
2018-07-06,=3365.1227,=1.8377
2018-06-29,=3510.9845,=1.8187
2018-06-22,=3608.9046,=1.7565
2018-06-15,=3753.4338,=1.6552
2018-06-08,=3779.6159,=1.6090
2018-06-01,=3770.5891,=1.6180
2018-05-25,=3816.4980,=1.5805
2018-05-18,=3903.0637,=1.5124
2018-05-11,=3872.8383,=1.5301
2018-05-04,=3774.5981,=1.5888
2018-04-28,,=1.5883
2018-04-27,=3756.8765,=1.6335
2018-04-20,=3760.8543,=1.6153
2018-04-13,=3871.1443,=1.4794
2018-04-08,,=1.4882
2018-04-04,=3854.8625,=1.4724
2018-03-30,=3898.4977,=1.4463
2018-03-23,=3904.9355,=1.4629
2018-03-16,=4056.4226,=1.3514
2018-03-09,=4108.8652,=1.3274
2018-03-02,=4016.4610,=1.3543
2018-02-24,,=1.3498
2018-02-23,=4071.0889,=1.3481
2018-02-14,=3966.9614,=1.3833
2018-02-11,,=1.4163
2018-02-09,=3840.6527,=1.4048
2018-02-02,=4271.2326,=1.2760
2018-01-26,=4381.2996,=1.2182
2018-01-19,=4285.3950,=1.2317
2018-01-12,=4225.0010,=1.2585
2018-01-05,=4138.7505,=1.2744
2017-12-31,,=1.3344
2017-12-29,=4030.8549,=1.3353
2017-12-22,=4054.5984,=1.3402
2017-12-15,=3980.8558,=1.3476
2017-12-08,=4003.3792,=1.3379
2017-12-01,=3998.1365,=1.3352
2017-11-24,=4104.2034,=1.3011
2017-11-17,=4120.8508,=1.2998
2017-11-10,=4111.9112,=1.2798
2017-11-03,=3992.6979,=1.3137
2017-10-27,=4021.9676,=1.2788
2017-10-20,=3926.8520,=1.2999
2017-10-13,=3921.0017,=1.3035
2017-09-30,,=1.3477
2017-09-29,=3836.5013,=1.3450
2017-09-22,=3837.7304,=1.3439
2017-09-15,=3831.2965,=1.3552
2017-09-08,=3825.9895,=1.3524
2017-09-01,=3830.5383,=1.3453
2017-08-25,=3795.7544,=1.3313
2017-08-18,=3724.6748,=1.3567
2017-08-11,=3647.3503,=1.3765
2017-08-04,=3707.5796,=1.3513
2017-07-28,=3721.8914,=1.3593
2017-07-21,=3728.5976,=1.3795
2017-07-14,=3703.0940,=1.3820
2017-07-07,=3655.9293,=1.3666
2017-06-30,=3666.7977,=1.4081
2017-06-23,=3622.8831,=1.4322
2017-06-16,=3518.7611,=1.4385
2017-06-09,=3576.1703,=1.4051
2017-06-02,=3486.5074,=1.4394
2017-05-27,,=1.4248
2017-05-26,=3480.4300,=1.4346
2017-05-19,=3403.8492,=1.4330
2017-05-12,=3385.3787,=1.4326
2017-05-05,=3382.5502,=1.4519
2017-04-28,=3439.7500,=1.4456
2017-04-21,=3466.7865,=1.3727
2017-04-14,=3486.5045,=1.3699
2017-04-07,=3517.4634,=1.3692
2017-04-01,,=1.4109
2017-03-31,=3456.0500,=1.4196
2017-03-24,=3489.5997,=1.3745
2017-03-17,=3445.8051,=1.3573
2017-03-10,=3427.8916,=1.3177
2017-03-03,=3427.8628,=1.3402
2017-02-24,=3473.8517,=1.3542
2017-02-17,=3421.4419,=1.3658
2017-02-10,=3413.4868,=1.3242
2017-02-04,,=1.3602
2017-02-03,=3364.4923,=1.3860
2017-01-26,=3387.9606,=1.3782
2017-01-22,,=1.4424
2017-01-20,=3354.8891,=1.4661
2017-01-13,=3319.9122,=1.4664
2017-01-06,=3347.6665,=1.4422
2016-12-31,,=1.5671
2016-12-30,=3310.0800,=1.4855
2016-12-23,=3307.5991,=1.4877
2016-12-16,=3346.0305,=1.4345
2016-12-09,=3493.7004,=1.4702
2016-12-02,=3528.9547,=1.5110
2016-11-25,=3521.2984,=1.5610
2016-11-18,=3417.4554,=1.5754
2016-11-11,=3417.2211,=1.6200
2016-11-04,=3354.1749,=1.7006
2016-10-28,=3340.1262,=1.7053
2016-10-21,=3327.7400,=1.7072
2016-10-14,=3305.8481,=1.6807
2016-10-09,,=1.7307
2016-09-30,=3253.2848,=1.6991
2016-09-23,=3275.6665,=1.6882
2016-09-18,,=1.6906
2016-09-14,=3238.7299,=1.6892
2016-09-09,=3318.0440,=1.6468
2016-09-02,=3314.1142,=1.6752
2016-08-26,=3307.0902,=1.7321
2016-08-19,=3365.0197,=1.7265
2016-08-12,=3294.2337,=1.7830
2016-08-05,=3205.1101,=1.7676
2016-07-29,=3203.9304,=1.7516
2016-07-22,=3225.1621,=1.7067
2016-07-15,=3276.2775,=1.6646
2016-07-08,=3192.2804,=1.7159
2016-07-01,=3154.2003,=1.7462
2016-06-24,=3077.1554,=1.7670
2016-06-17,=3110.3572,=1.7216
2016-06-12,,=1.6622
2016-06-08,=3163.9864,=1.6568
2016-06-03,=3189.3255,=1.6553
2016-05-27,=3062.4993,=1.7741
2016-05-20,=3078.2183,=1.7750
2016-05-13,=3074.9351,=1.8090
2016-05-06,=3130.3544,=1.7518
2016-04-29,=3156.7451,=1.7551
2016-04-22,=3174.9012,=1.7588
2016-04-15,=3272.2053,=1.6923
2016-04-08,=3185.7258,=1.7515
2016-04-01,=3221.8948,=1.7912
2016-03-25,=3197.8169,=1.8166
2016-03-18,=3171.9630,=1.8637
2016-03-11,=3018.2844,=1.9611
2016-03-04,=3093.8895,=1.8896
2016-02-26,=2948.0306,=1.9492
2016-02-19,=3051.5850,=1.8854
2016-02-14,,=1.9684
2016-02-06,,=1.9468
2016-02-05,=2963.7894,=1.9547
2016-01-29,=2946.0902,=1.9919
2016-01-22,=3113.4626,=1.9073
2016-01-15,=3118.7300,=1.9472
2016-01-08,=3361.5630,=1.7182
2015-12-31,=3731.0050,=1.5387
2015-12-25,=3838.2010,=1.5203
2015-12-18,=3767.9130,=1.4706
2015-12-11,=3608.0590,=1.5210
2015-12-04,=3677.5920,=1.4732
2015-11-27,=3556.9920,=1.4959
2015-11-20,=3774.3830,=1.3939
2015-11-13,=3746.2420,=1.4285
2015-11-06,=3793.3740,=1.4393
2015-10-30,=3534.0790,=1.5616
2015-10-23,=3571.2410,=1.6052
2015-10-16,=3534.0650,=1.5827
2015-10-10,,=1.6737
2015-10-09,=3340.1160,=1.6349
2015-09-30,=3202.9480,=1.7118
2015-09-25,=3231.9510,=1.6662
2015-09-18,=3251.2730,=1.6694
2015-09-11,=3347.1880,=1.5916
2015-09-06,,=1.6425
2015-09-02,=3365.8320,=1.6133
2015-08-28,=3342.2860,=1.5341

数据来源于：理杏仁网站(lixinger.com)